Dimension,Covariate,Scanner_F,Scanner_p,Scanner_Partial_Eta_Sq,Covariate_F,Covariate_p,Covariate_Partial_Eta_Sq,Model_R_squared,Model_Adj_R_squared,N_observations,Scanner_Survives_Bonferroni,Cov_Survives_Bonferroni
latent_39,SBR_PC1,49.78248651624559,6.922132855967642e-129,0.24074807956395522,683.3113807845716,1.8157692843613345e-132,0.22489840412871795,0.3631426060592772,0.358815761769234,2372,True,True
latent_213,SBR_PC1,32.07758745110822,4.268242600597151e-84,0.16965303970468132,0.0007727644412148934,0.9778251052344251,3.2813765929587195e-07,0.17343094620019994,0.1678151904206684,2372,True,False
latent_231,SBR_PC1,22.741677873651373,5.033373955289262e-59,0.1265242326804,167.22448247242576,5.26661049721748e-37,0.06630039619173902,0.1695698578809609,0.16392786965424977,2372,True,True
latent_134,SBR_PC1,20.98024764112342,3.4646448498081394e-54,0.11787964068590163,0.050620281515368584,0.8220069516490449,2.1494349666809963e-05,0.11890206800162828,0.11291584001352895,2372,True,False
latent_99,SBR_PC1,20.166945366674568,6.0799533131186545e-52,0.11383018048279796,183.9443035743655,2.107366333299867e-40,0.07244912907912389,0.15811441662131442,0.15239459949432543,2372,True,True
latent_250,SBR_PC1,17.94671648817153,8.743272984416164e-46,0.10258390010643575,398.85753699528686,4.193696910543227e-82,0.14483593709443565,0.1977491474618256,0.19229861088407152,2372,True,True
latent_19,SBR_PC1,17.623419442016175,6.948184479003148e-45,0.10092242780681568,109.9943788474019,3.493806250657095e-25,0.044622567820553724,0.12962440478352433,0.12371102494341235,2372,True,True
latent_126,SBR_PC1,16.809097482259467,1.2968651500386707e-42,0.09671011313993594,11694.435726046928,0.0,0.8323776096121817,0.8523673359673339,0.8513643114983223,2372,True,True
latent_251,SBR_PC1,15.525105397262456,5.0491856328103496e-39,0.08998751434762955,6.164931490786704,0.013099893101419593,0.0026109702920643937,0.09016242466686142,0.08398093795546857,2372,True,False
latent_8,SBR_PC1,15.408886305548595,1.0683243786234121e-38,0.08937408410747733,7.253301113285061,0.007127248304714976,0.003070500995751268,0.09655953526569439,0.09042151087684136,2372,True,False
latent_133,SBR_PC1,14.246886321964924,1.9355576305058137e-35,0.08319500942737756,46.69464120356113,1.0526492097922803e-11,0.01944237223270026,0.10243304649964424,0.09633492707034241,2372,True,True
latent_115,SBR_PC1,12.669748954468004,5.208122720128205e-31,0.07467299876696355,4.7869889981823,0.028773479168549342,0.0020285682650596167,0.07473023258548006,0.06844389870920309,2372,True,False
latent_23,SBR_PC1,12.415727917394321,2.695029432098848e-30,0.07328556840630597,9.763982848973471,0.0018013130996640187,0.004128946025814473,0.07376651401119405,0.06747363257772443,2372,True,False
latent_116,SBR_PC1,12.37588051977815,3.487779157740787e-30,0.0730675494161225,3.752170799842598,0.052858432948110955,0.0015907439731450263,0.0734405637467419,0.06714546778918262,2372,True,False
latent_22,SBR_PC1,12.10689042613408,1.9883626002612148e-29,0.07159312311654369,6.566856760713277,0.010451191812943647,0.002780720241696154,0.07317199784664741,0.0668750772375376,2372,True,False
latent_163,SBR_PC1,12.069935375766184,2.5255004966781906e-29,0.07139019334774194,51.66294990784001,8.806518764250419e-13,0.021466632836899063,0.08409157435632131,0.07786884195279742,2372,True,True
latent_90,SBR_PC1,11.44307902532003,1.4575941790880317e-27,0.06793439713601963,32.20344831073182,1.558908322908748e-08,0.013490030911910799,0.0754388402718843,0.06915732071534508,2372,True,True
latent_220,SBR_PC1,11.399001289589226,1.938425940163526e-27,0.06769043285468664,1.342756960263841,0.2466658442968203,0.0005698478951322124,0.06984499561165258,0.06352547116570206,2372,True,False
latent_10,SBR_PC1,11.312977715108813,3.381182950983193e-27,0.06721393601780054,101.29567135268464,2.3329294533803213e-23,0.04123920118171319,0.0900104666914544,0.08382794756918832,2372,True,True
latent_136,SBR_PC1,11.221099909949247,6.124968488713106e-27,0.06670447355269961,36.09085509059871,2.1758382745987037e-09,0.015093886965341275,0.07091083526345532,0.06459855219093524,2372,True,True
latent_171,SBR_PC1,10.031922865478,1.3272801820361624e-23,0.060059913658285426,0.20704992884705153,0.6491314748502066,8.791156125883144e-05,0.06047183223968344,0.054088626004369145,2372,True,False
latent_212,SBR_PC1,9.957358676393795,2.1468221385466275e-23,0.0596401306018126,1.070242531184174,0.3009968896638211,0.0004542489913349892,0.060408113676786446,0.05402447453403847,2372,True,False
latent_114,SBR_PC1,9.91599636057743,2.802970022625797e-23,0.05940710642949145,9.116478301590135,0.0025603647713063836,0.0038561882992074587,0.06529602582271998,0.05894559542491251,2372,True,False
latent_107,SBR_PC1,9.82094616584946,5.172679082937914e-23,0.05887118129689605,3.0760344591212267,0.0795841013800372,0.0013044678857553403,0.05937607245215015,0.0529854215643516,2372,True,False
latent_18,SBR_PC1,9.719446590108578,9.948757318048067e-23,0.05829821768785328,45.44853621771221,1.9643094656116872e-11,0.018933351634908863,0.08719267344431292,0.08099101007917875,2372,True,True
latent_222,SBR_PC1,9.469290173474601,4.981663373089693e-22,0.056883105368004075,8.3676413519296,0.003854670439764169,0.0035405584833779874,0.06050661564210991,0.05412364572715189,2372,True,False
latent_27,SBR_PC1,9.195772437464768,2.8937002608766826e-21,0.05533096481695948,1.2451226051733004,0.26459992631106893,0.0005284350907415928,0.06137304257375731,0.05499595921120115,2372,True,False
latent_92,SBR_PC1,8.386847406108338,5.183742300214481e-19,0.050710485976641094,203.96242236880875,1.936865104313454e-44,0.07970512602525931,0.10653670547194682,0.10046646652823177,2372,True,True
latent_192,SBR_PC1,8.384147763651148,5.2740424644546915e-19,0.05069499028185489,2.1789447812496663,0.14004405172224582,0.0009243866640136972,0.052476321919633584,0.04603879374583919,2372,True,False
latent_34,SBR_PC1,8.328134837552502,7.546180418088943e-19,0.050373367156990735,11.63521470799573,0.0006580646535131587,0.004916353240958314,0.05219971157413539,0.04576030409438425,2372,True,True
latent_155,SBR_PC1,8.063606285438453,4.0888162068951436e-18,0.04885150922665748,27.97817843492282,1.340132829301516e-07,0.011740845421126831,0.0581126963446974,0.05171346200988436,2372,True,True
latent_229,SBR_PC1,7.661609533242517,5.292983344915638e-17,0.046529422097600484,76.96545394355874,3.2713078795735123e-18,0.031647428962757365,0.06771377357043629,0.06137976948429058,2372,True,True
latent_48,SBR_PC1,7.414040354149465,2.5494173679127473e-16,0.045093717897690185,240.83810149473592,8.66587385555546e-52,0.09277855246675688,0.12015258505188109,0.11417485314565179,2372,True,True
latent_181,SBR_PC1,7.380601270776864,3.15152295090169e-16,0.044899466322179504,1.3531187673638763,0.2448514777454716,0.0005742427807559287,0.04513079208491044,0.03864335797593321,2372,True,False
