Algorithm,Input,k,Silhouette,ARI
KMeans,PCA,2,0.06291500150237228,0.027996789882781495
GMM,PCA,2,0.1369219897860797,-0.010800181679839186
Agglomerative,PCA,2,0.032907031765824074,0.0556587653894877
KMeans,UMAP,2,0.40136775374412537,0.03013726791568417
KMeans,PCA,3,0.061979300689543056,0.016032878511697837
GMM,PCA,3,0.015168719392211379,0.02798629773707533
Agglomerative,PCA,3,0.04099990019846103,0.020604612197059124
KMeans,UMAP,3,0.394508421421051,0.0007204951329772253
KMeans,PCA,4,0.07032617614722214,0.02539743699541193
GMM,PCA,4,0.020785178354025154,0.02197877129730995
Agglomerative,PCA,4,0.045110687070371046,0.02324235819765938
KMeans,UMAP,4,0.3803275227546692,0.008621929037269993
KMeans,PCA,5,0.04703977619548262,0.014606321721227439
GMM,PCA,5,0.007569622009145723,0.027393438011402323
Agglomerative,PCA,5,0.03568254255459904,0.004289532684333826
KMeans,UMAP,5,0.3867644965648651,0.00771873636368067
KMeans,PCA,6,0.05376780665898027,0.007387651409762715
GMM,PCA,6,-0.0034570851217956885,0.02346427866305308
Agglomerative,PCA,6,0.04068412161421711,0.005124146104408413
KMeans,UMAP,6,0.38399314880371094,0.014838889605057977
