,Age,Sex,Scanner,Scanner Model,Patient Hand,SBR_PC1,SBR_PC2,SBR_PC3
latent_0,0.0,0.0,0.027012065048513133,0.033302887495780836,0.0,0.0,0.0,0.0
latent_1,0.0,0.0,0.0,0.02606937848228836,0.0,0.0,0.0,0.0
latent_4,0.0,0.007524912032884596,0.0,0.0,0.0,0.0,0.0,0.019293544214831346
latent_5,0.017245683746376948,0.0,0.04811534810499944,0.07451976645696173,0.0,0.0,0.0,0.0
latent_6,0.0,0.0,0.026185171523673185,0.03535351314585087,0.0,0.0,0.0,0.0
latent_7,0.0,0.0,0.02098303996127922,0.03060584255387306,0.0,0.0,0.0,0.0
latent_8,0.01474078837319731,0.0,0.08984437063616936,0.10346294274850872,0.0,0.0769574234200658,0.0,0.01441192334669349
latent_10,0.011665210812125223,0.04341717175902362,0.026009919950654423,0.03796890626588848,0.0,0.05341814776918721,0.0071714418219930385,0.031484427716178987
latent_11,0.0,0.0,0.02841214198954359,0.035811879749392796,0.0,0.0,0.0,0.0
latent_12,0.0,0.0,0.02716034649887642,0.044763959023878766,0.0,0.0,0.0,0.0
latent_13,0.0,0.0,0.021571739639306527,0.0,0.0,0.0,0.0,0.008142800160506577
latent_14,0.0,0.0,0.0,0.027866142543715985,0.0,0.0,0.0,0.0
latent_17,0.0,0.0,0.0235040834462383,0.08482217823438819,0.0,0.0,0.0,0.0
latent_18,0.008563257884395707,0.0,0.05303058210830922,0.0588608783065288,0.0,0.014198965927551713,0.0,0.03726396343606263
latent_19,0.007539245830485355,0.0,0.06068930816652623,0.09016449121493057,0.0,0.012957598362274333,0.0,0.011681954514902743
latent_20,0.0,0.0,0.0,0.0297594497184323,0.0,0.0,0.0,0.0
latent_22,0.0,0.0,0.05222457384495862,0.06585227736830712,0.0,0.0,0.0,0.025377118761585576
latent_23,0.0,0.0,0.04847881663030748,0.05846776571021133,0.0,0.0,0.011287164166616617,0.010090268592945217
latent_24,0.0,0.0,0.0,0.024532665634220005,0.0,0.0,0.0,0.008899127021278633
latent_25,0.0,0.0075008536799470865,0.025071036956024757,0.044856952208724196,0.0,0.009788460919644958,0.010177668440039825,0.0
latent_27,0.05363948469217729,0.0,0.11067218760361854,0.1296158316902588,0.0,0.054146150473755025,0.008752039694932679,0.06501884495794873
latent_28,0.0,0.0,0.020932294548403944,0.0,0.0,0.0,0.0,0.0
latent_29,0.0,0.0,0.04794793412545427,0.052851228925286084,0.0,0.0,0.0,0.0
latent_30,0.0,0.0,0.0,0.04122738800845936,0.0,0.0,0.0,0.0
latent_32,0.0,0.0,0.03363493698866345,0.04070956829502066,0.0,0.007297593759120011,0.0,0.0
latent_34,0.0,0.009598716977437602,0.043139940146529276,0.05703891126193461,0.0,0.0,0.006971232417458398,0.005805536042841401
latent_37,0.0,0.0,0.0,0.02589484074400346,0.0,0.0,0.0,0.0
latent_39,0.031953201822571664,0.0,0.14996867910824965,0.18145455611963304,0.0,0.2183914703096432,0.009339539402863117,0.018008064155179575
latent_40,0.0,0.0,0.02225142046256452,0.04688479525618804,0.0,0.0,0.0,0.0
latent_41,0.0,0.0,0.024502225697636056,0.027931373608231037,0.0,0.0,0.0,0.0
latent_44,0.03727881124895149,0.02483570259712833,0.03925315608645407,0.07584540766697759,0.0,0.0,0.04113054999474104,0.0
latent_45,0.0,0.0,0.021472383731965382,0.034562918478370924,0.0,0.0,0.0,0.0
latent_46,0.0,0.0,0.02424933379421348,0.03753888911063916,0.0,0.0,0.0,0.0
latent_47,0.0,0.011110968551772269,0.0,0.0,0.0,0.0,0.0,0.0
latent_48,0.0,0.0,0.03675054930332992,0.03615084215949192,0.0,0.06178784792497247,0.00896864913445153,0.006677648303008098
latent_49,0.0,0.0,0.024117337297576053,0.03108608977580481,0.0,0.0,0.0,0.0
latent_50,0.007594579977518562,0.026385290405308952,0.02071807472623614,0.046901628625419245,0.0,0.0,0.007679951937371588,0.0675759689946811
latent_51,0.0,0.0,0.0,0.029922001798522224,0.0,0.0,0.008607184204413577,0.0
latent_52,0.0,0.0,0.024674745105461863,0.03868769321507394,0.0,0.0,0.0,0.0
latent_53,0.0,0.0,0.017773411293657015,0.0,0.0,0.0,0.0,0.0
latent_54,0.0,0.008371250366539471,0.0,0.0,0.0,0.0,0.00821705470589661,0.0
latent_55,0.0,0.009684120681623276,0.0,0.0,0.0,0.0,0.0,0.0
latent_56,0.0,0.0,0.02291122872844266,0.0,0.0,0.007340828900956339,0.0,0.0
latent_58,0.0,0.0,0.027243919647282684,0.03734311200629946,0.0,0.0,0.0,0.006738682494937488
latent_59,0.0,0.009999059356637172,0.0,0.0,0.0,0.0,0.0,0.0
latent_60,0.0,0.0,0.02712486776305673,0.03421428883797122,0.0,0.0,0.0,0.0
latent_62,0.0,0.0,0.03715910846960454,0.04765094226640231,0.0,0.0,0.0,0.006398937271545496
latent_64,0.0,0.0,0.01996615269294139,0.0,0.0,0.0,0.0,0.0
latent_65,0.0,0.0,0.025424147006660548,0.029743936487178536,0.0,0.006236302601978995,0.0,0.0
latent_69,0.0,0.0,0.032909829671203206,0.04623059980833976,0.0,0.0,0.0,0.006849818594662636
latent_71,0.0,0.0,0.01940480197772391,0.03307345358743841,0.0,0.0,0.0,0.0
latent_72,0.11609425010682586,0.02984399973612242,0.023910872403218295,0.05215126377714881,0.0,0.0,0.0,0.0
latent_73,0.0,0.0,0.018260002150727057,0.0,0.0,0.0,0.0,0.0
latent_74,0.0,0.0,0.018767786533123512,0.04050323871755577,0.0,0.0,0.0,0.0
latent_75,0.0,0.03224842070268129,0.035037862331363606,0.06388006050158589,0.0,0.014869913348219289,0.02203702947743711,0.0
latent_76,0.0,0.0,0.0,0.028580272522569644,0.0,0.0,0.0,0.009080824240649243
latent_77,0.0,0.0,0.03492892502980202,0.03993222126846673,0.0,0.0,0.0,0.0
latent_78,0.0,0.0,0.023786665471558954,0.03192613001150051,0.0,0.0,0.0,0.0
latent_79,0.0,0.015742275209616165,0.025652480208625032,0.029888337747474247,0.0,0.0,0.0,0.0
latent_80,0.0,0.0,0.0362820959131311,0.040930630844568404,0.0,0.0,0.0,0.0
latent_81,0.0,0.0,0.03903819030846655,0.04629154532838941,0.0,0.0,0.0,0.0
latent_83,0.0,0.0,0.0,0.03130409265898482,0.0,0.0,0.0,0.0
latent_85,0.0,0.0,0.028729599363501487,0.04191306336042408,0.0,0.0,0.0,0.0
latent_86,0.0,0.0,0.031668021487855434,0.03736344596340966,0.0,0.0,0.0,0.011640089745708012
latent_87,0.007682308265089372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_89,0.0,0.009050479630068026,0.0,0.03039521853790234,0.0,0.0,0.0,0.0
latent_90,0.0,0.0,0.04925126025787153,0.06569525323068208,0.0,0.0,0.0,0.029730130114131312
latent_92,0.0,0.0,0.03337474053406803,0.05238907793589662,0.0,0.027075608282096535,0.0,0.02746328668392691
latent_94,0.0,0.0,0.06113028965501555,0.07570123129058029,0.0,0.013117874775335405,0.0,0.02332043487121422
latent_95,0.013538217254145082,0.0,0.02278529813998437,0.03280230719237408,0.0,0.0,0.0,0.0
latent_97,0.0,0.0,0.020014250394380304,0.026702211582216445,0.0,0.0,0.0,0.0
latent_98,0.010002823372178376,0.0,0.029358116802339886,0.04077361915254046,0.0,0.0,0.0,0.0
latent_99,0.0,0.009356954039927678,0.08812404204753281,0.10586676550426616,0.0,0.10155428539738634,0.03151844407031761,0.059499003665314465
latent_100,0.0,0.0,0.022635500493676637,0.03182191230551955,0.0,0.0,0.0,0.0
latent_102,0.022692268425515548,0.0,0.025941410038220498,0.053330372736468436,0.0,0.0,0.0,0.0
latent_103,0.0,0.0,0.030612682129087583,0.04561370892521214,0.0,0.0,0.0,0.0
latent_104,0.0,0.0,0.06436618341042002,0.07441408104904823,0.0,0.0,0.0,0.0
latent_105,0.0,0.0,0.02730832735887716,0.03026818545759896,0.0,0.0,0.0,0.0
latent_106,0.0,0.0,0.01937799465378438,0.0,0.0,0.0,0.0,0.0
latent_107,0.0,0.0,0.05263567653964445,0.058999560693791996,0.0,0.0,0.025848143343454866,0.03509726843543832
latent_109,0.0,0.0,0.0,0.024915974813269688,0.0,0.0,0.0,0.0
latent_110,0.007239031682958471,0.0,0.02696249555569148,0.03984198892230651,0.0,0.0,0.0,0.0
latent_111,0.0,0.006065850724024199,0.0,0.0,0.0,0.0,0.0,0.0
latent_112,0.0,0.0,0.021203876715922592,0.0,0.0,0.0,0.0,0.0138074546780308
latent_113,0.0,0.0,0.019737730694791653,0.03466520554741577,0.0,0.0,0.0,0.010047963298965127
latent_114,0.0,0.0,0.06318263788071904,0.06763312040673668,0.0,0.0,0.0,0.0
latent_115,0.0,0.0,0.07396213969180195,0.08366781828772146,0.0,0.0,0.0,0.0
latent_116,0.0819529454669918,0.0,0.07566355287175025,0.09539547288735846,0.0,0.0,0.0957263722206144,0.0
latent_117,0.0,0.00817403306272781,0.017756717257570127,0.024455474853310878,0.0,0.0,0.0,0.0
latent_118,0.009630231971018942,0.02850431347788912,0.04291596805269358,0.051584405959491764,0.0,0.023695121934246617,0.06487493675092076,0.028722423352614258
latent_119,0.0,0.006413413120856625,0.03370815409533512,0.055930432070938896,0.0,0.07420243530581128,0.10749512400252506,0.0
latent_121,0.0,0.0,0.026443370402621368,0.03952155179620219,0.0,0.0,0.0,0.0
latent_122,0.0,0.0,0.01999734122658024,0.03169435674775649,0.0,0.0,0.0,0.0
latent_123,0.0,0.010759205371530004,0.0,0.0,0.0,0.0,0.0,0.0
latent_125,0.0,0.0,0.0,0.025221968978982285,0.0,0.0,0.0,0.0
latent_126,0.024930905372029702,0.0,0.12828262752236447,0.1426337524901417,0.0,0.769034364978185,0.009548507258199647,0.007979874955134613
latent_127,0.0,0.0,0.023351702008146763,0.041288820885147334,0.0,0.0,0.0,0.007566028392188125
latent_129,0.0,0.0,0.027920734439404588,0.03787781167361854,0.0,0.0,0.0,0.006676723967023084
latent_130,0.0,0.0,0.01796010735338387,0.0,0.0,0.0,0.0,0.0
latent_132,0.0,0.0,0.020136191895538016,0.032476720008494914,0.0,0.01200025575336265,0.0,0.0
latent_133,0.04704117534944055,0.05190571729730837,0.0822973830754532,0.09619148184522162,0.0,0.031958842309723075,0.02613429969479026,0.03442786149570374
latent_134,0.0,0.025945404783827012,0.10002058572492338,0.1526907967120071,0.0,0.0,0.02389128526643802,0.019144599498705152
latent_135,0.021373304621302085,0.0,0.03271346373362155,0.04472826336812049,0.0,0.2503032916559229,0.0,0.027371417511867845
latent_136,0.01824394117671888,0.0,0.03336767679670593,0.05020186742710533,0.0,0.035318370552381496,0.0,0.03026040231061709
latent_137,0.0,0.0,0.029195836814785173,0.03586838823435513,0.0,0.0,0.0,0.0
latent_138,0.0,0.0,0.0,0.027265486172683217,0.0,0.0,0.0,0.0
latent_140,0.0,0.00941705119343166,0.0,0.0,0.0,0.0,0.0,0.011434470010314475
latent_141,0.0,0.0,0.02786858803698012,0.030622764898033745,0.0,0.0,0.0,0.011561921319584773
latent_142,0.02072256963172543,0.0,0.01957462443040155,0.03253458393148068,0.0,0.0,0.0,0.04718976602589264
latent_143,0.0,0.0,0.024183193103710716,0.04275901508704326,0.0,0.0,0.0,0.0
latent_144,0.0,0.0,0.033626566147634686,0.039938862619776305,0.0,0.0,0.0,0.009583713209005643
latent_145,0.0,0.0,0.01864630290685869,0.025575289300873733,0.0,0.0,0.0,0.0
latent_147,0.0,0.00606833072639404,0.0,0.026958342777333784,0.0,0.0,0.0,0.025362526101410578
latent_149,0.0,0.0,0.017784615596124796,0.0,0.0,0.0,0.0,0.0
latent_150,0.0,0.007824851210577922,0.0,0.0,0.0,0.0,0.00967422233367155,0.016170240819450954
latent_151,0.0,0.0,0.03507327314611811,0.046856652684563564,0.0,0.0,0.0,0.0
latent_152,0.0,0.0,0.0,0.030941849325420098,0.0,0.0,0.0,0.0
latent_153,0.0,0.0,0.0,0.025408289391947066,0.0,0.0,0.0,0.0
latent_154,0.0,0.00857090900081815,0.03379486351006809,0.04386330929228337,0.0,0.0,0.007552654359004846,0.0
latent_155,0.03981436446692952,0.0,0.03881487434451121,0.048909741227334214,0.0,0.013850791679248365,0.014242964864907243,0.06785523206304035
latent_157,0.0,0.0,0.021386594451232765,0.0,0.0,0.0,0.0,0.0
latent_158,0.0,0.0,0.03321209712397366,0.04534348503640128,0.0,0.009102952528519458,0.0,0.00830251323577852
latent_160,0.01026420458053164,0.0,0.10911618473295936,0.12271121097989186,0.0,0.021702748565982234,0.0,0.023368206786636973
latent_161,0.0,0.0,0.02352967097463433,0.03037148011376082,0.0,0.0,0.0,0.0
latent_162,0.005801458363528566,0.010691652901730938,0.023622784208689185,0.04634590715709618,0.0,0.0,0.0,0.01132755141715113
latent_163,0.02892306357957265,0.0,0.06892045376096864,0.08923584903301521,0.0,0.0,0.23132251387220532,0.0
latent_165,0.0,0.015198317297824915,0.02503713754665628,0.033305033217131415,0.0,0.0,0.0,0.0
latent_167,0.0,0.0078892561567338,0.021134397983324518,0.036440764799954624,0.0,0.0,0.0,0.0
latent_169,0.0,0.0,0.0,0.024212285304894457,0.0,0.0,0.0,0.0
latent_170,0.0,0.0,0.0,0.02722465552633083,0.0,0.0,0.0,0.0
latent_171,0.0,0.0,0.049233042182833225,0.05108243266012322,0.0,0.0,0.0,0.008708999235699896
latent_172,0.0,0.0,0.0292656935763389,0.04030093157295077,0.0,0.0,0.0,0.0
latent_173,0.0,0.0,0.02336659228815045,0.03323099825827606,0.0,0.0,0.0,0.0
latent_174,0.007089413078587856,0.0,0.03070851096516479,0.03676907039589682,0.0,0.0,0.0,0.0
latent_175,0.0,0.0,0.018061482634992625,0.0,0.0,0.0,0.0,0.010220259925299333
latent_178,0.0,0.0,0.019982131792548305,0.030510422575151127,0.0,0.0,0.0,0.0
latent_180,0.0,0.0,0.025015979283177427,0.0,0.0,0.0,0.0,0.013326685677917558
latent_181,0.0,0.0,0.03327851230555951,0.03895514764092552,0.0,0.0,0.0,0.0
latent_182,0.0,0.0,0.022603171164082055,0.024457741854586715,0.0,0.0,0.0,0.0
latent_183,0.0,0.0,0.04081116677339362,0.04262795363311967,0.0,0.0,0.0,0.0
latent_184,0.0,0.0,0.0,0.0,0.0,0.0,0.007325368169598303,0.0
latent_185,0.02022136611847788,0.04236828051038029,0.019105070787463013,0.03868747855019078,0.0,0.0,0.0,0.007354738453972837
latent_186,0.0,0.0,0.02115117629335378,0.025937289459187295,0.0,0.0,0.0,0.0
latent_187,0.007621946009334207,0.0,0.03134560377594815,0.0656932265824398,0.0,0.0,0.035900039159606933,0.027266599932802806
latent_188,0.0,0.0,0.0,0.024365817742719714,0.0,0.0,0.0,0.0
latent_189,0.0,0.0,0.029115936457853105,0.04880262825000741,0.0,0.0,0.0,0.0
latent_190,0.0,0.0,0.03612748880148189,0.03665957437277179,0.0,0.0,0.0,0.0
latent_191,0.0,0.0,0.0,0.029934456207647342,0.0,0.0,0.0,0.0
latent_192,0.0,0.0,0.05240130381000235,0.06644487192559566,0.0,0.0,0.0,0.0
latent_193,0.0,0.0,0.025577943175264982,0.05219155727974654,0.0,0.0,0.0,0.0
latent_195,0.0,0.0,0.02109792213444058,0.0,0.0,0.0,0.0,0.0
latent_196,0.0,0.011128520123642292,0.027435361475966816,0.06435230811012725,0.0,0.0,0.014297130752801151,0.014874667402192608
latent_197,0.0,0.0,0.02339179763997379,0.04533626950647818,0.0,0.0,0.0,0.0
latent_198,0.0,0.0,0.0,0.0,0.0,0.0,0.00717094463457543,0.0
latent_200,0.0,0.0,0.028122148547878846,0.042568539714737626,0.0,0.0,0.0,0.0
latent_201,0.0,0.0,0.023940502503198978,0.04355530071815688,0.0,0.0,0.0,0.0
latent_202,0.0,0.0,0.0,0.026821701074141925,0.0,0.0,0.0,0.00646126278615518
latent_203,0.0,0.0,0.0336307867805112,0.04721432566310144,0.0,0.007202105360842745,0.0,0.0
latent_204,0.0,0.0,0.020506861970987177,0.0,0.0,0.0,0.0,0.0
latent_206,0.0,0.0,0.025324573573298415,0.029773769640824354,0.0,0.0,0.0,0.0
latent_207,0.0,0.0,0.045950715899591606,0.08377827786295908,0.0,0.0,0.0,0.0
latent_208,0.0,0.0,0.0,0.028393180495089057,0.0,0.0,0.0,0.011882334987713388
latent_209,0.0,0.011134171046777788,0.05406379754876419,0.07652726687723697,0.0,0.0,0.0,0.02812780898590946
latent_211,0.0,0.006796233309577406,0.030068062868623784,0.043179696801912866,0.0,0.0,0.0,0.0
latent_212,0.04488593361018637,0.012209983135115636,0.0713384804178468,0.08227034531823132,0.0,0.0,0.028447578390248834,0.04100416418560344
latent_213,0.0,0.0,0.17074848307001292,0.1861016607501062,0.0,0.0,0.032576231077303605,0.0688470975484341
latent_214,0.0,0.0,0.026468235966300824,0.05729255284483232,0.0,0.0,0.0,0.0
latent_215,0.0,0.0,0.0,0.02882924161771574,0.0,0.0,0.0,0.0
latent_216,0.0,0.0,0.08871253587573745,0.11800107279352899,0.0,0.02042855598035375,0.009420926411412619,0.026891672430779646
latent_217,0.007017246706581777,0.0,0.0,0.0275763756564552,0.0,0.0,0.0,0.00989932403928234
latent_219,0.0,0.0,0.04391296424170097,0.05377879608466703,0.0,0.0,0.0,0.007129279586405776
latent_220,0.0,0.0,0.06325763330225055,0.0712022286654462,0.0,0.0,0.0,0.0
latent_221,0.0,0.0,0.0,0.03424536137371038,0.0,0.008929603104426115,0.0,0.0
latent_222,0.0,0.006390472801049023,0.06590247889126966,0.08194832135053974,0.0,0.009776286847574788,0.04406733772600126,0.0
latent_223,0.0,0.026639273881903083,0.019300051565566516,0.0,0.0,0.0,0.0,0.0
latent_224,0.0,0.0,0.018011422699967312,0.027833957338255475,0.0,0.006177855400138798,0.0,0.0
latent_226,0.0,0.0,0.0,0.0246805865678961,0.0,0.0,0.0,0.0
latent_227,0.0,0.0,0.017783674092433935,0.0,0.0,0.0,0.0,0.0
latent_228,0.0,0.0,0.028732412189955234,0.04803334158415136,0.0,0.0,0.0,0.03263098855203964
latent_229,0.0,0.0,0.030786516655610427,0.04697186537339275,0.0,0.038280793100765875,0.0,0.06968032642246436
latent_231,0.08199379162369365,0.013569699712635845,0.09779167609553617,0.118705144779152,0.0,0.10013037609416714,0.0,0.06692443333236274
latent_232,0.0,0.0,0.023837579380735285,0.03026328726546073,0.0,0.0,0.0,0.0066215622757588395
latent_233,0.017794017081103505,0.0,0.033007388022069616,0.04367144415890458,0.0,0.0,0.0,0.0
latent_235,0.0,0.0,0.0,0.0,0.0,0.006984835309395522,0.0,0.0
latent_236,0.0,0.0,0.022131044547239912,0.02926085187736677,0.0,0.0,0.0,0.010629058970762653
latent_237,0.0,0.0,0.026368093105785743,0.02877533802844324,0.0,0.0,0.0,0.0
latent_238,0.0,0.0,0.026138316003035345,0.03566183344236338,0.0,0.0,0.0,0.0
latent_239,0.0,0.0,0.026108580304653912,0.03636108420162319,0.0,0.0,0.0,0.0
latent_240,0.0,0.009434609676090618,0.0,0.0,0.0,0.0,0.0,0.0
latent_242,0.0070557080148338685,0.0,0.018319994706898112,0.029972322298613584,0.0,0.0,0.0,0.0
latent_243,0.0,0.0,0.0,0.03387567467224541,0.0,0.0,0.0,0.0
latent_244,0.0,0.0,0.0214838947626112,0.028171226761091767,0.0,0.023077323041911783,0.007807668386775681,0.0
latent_245,0.0,0.0,0.0,0.027175512816961574,0.0,0.0,0.0,0.0
latent_246,0.0,0.0,0.02461100177561666,0.02707609461661127,0.0,0.0,0.0,0.0
latent_247,0.0,0.0,0.020643323959750808,0.030608591868041383,0.0,0.0,0.0,0.0
latent_248,0.011732994640713876,0.015004881544211129,0.04460111038209721,0.0701936969697174,0.0,0.0,0.0,0.006190780653899453
latent_249,0.0,0.0,0.018902539985766714,0.03070157638542494,0.0,0.0,0.0,0.0
