Feature,Correlation,P_Value,Abs_Correlation,Rank
latent_72,-0.3067508427111123,7.760216935219364e-53,0.3067508427111123,1
latent_116,0.2953251512353271,6.277702125351614e-49,0.2953251512353271,2
latent_108,0.2802217174045743,4.96821416540161e-44,0.2802217174045743,3
latent_231,0.27587725561196436,1.1216938267840364e-42,0.27587725561196436,4
latent_191,0.2662941920468578,8.910289019504941e-40,0.2662941920468578,5
latent_175,-0.2467014036306473,3.295165630507377e-34,0.2467014036306473,6
latent_14,-0.23581735455439454,2.5461492278284975e-31,0.23581735455439454,7
latent_27,0.23169760684294907,2.8939902258794537e-30,0.23169760684294907,8
latent_133,-0.22891982746163708,1.451187866754717e-29,0.22891982746163708,9
latent_163,0.22762061137098033,3.062364987760541e-29,0.22762061137098033,10
latent_56,-0.22299303148113397,4.216046404194332e-28,0.22299303148113397,11
latent_92,0.21602181108795412,1.9613748008976005e-26,0.21602181108795412,12
latent_3,-0.21599267429788577,1.9925552270225738e-26,0.21599267429788577,13
latent_87,-0.21031419035520976,4.1243868018095815e-25,0.21031419035520976,14
latent_43,-0.20988933039447644,5.1558620160154625e-25,0.20988933039447644,15
latent_156,0.20702734982980686,2.290084193282142e-24,0.20702734982980686,16
latent_135,-0.2034501851938723,1.431676337680113e-23,0.2034501851938723,17
latent_21,0.1995980889690948,9.919185049213302e-23,0.1995980889690948,18
latent_179,0.19566452158087103,6.87502476464189e-22,0.19566452158087103,19
latent_225,-0.1931616098783463,2.3069985631527635e-21,0.1931616098783463,20
latent_233,-0.1904116355536938,8.560159149137983e-21,0.1904116355536938,21
latent_208,-0.1888322534633042,1.8015028391624233e-20,0.1888322534633042,22
latent_158,0.18756945195075442,3.2507034714315785e-20,0.18756945195075442,23
latent_88,-0.18652380750255637,5.282881813580217e-20,0.18652380750255637,24
latent_157,0.18576028869087727,7.51764601136341e-20,0.18576028869087727,25
latent_237,0.18450294465952588,1.3395242161754887e-19,0.18450294465952588,26
latent_44,0.1823808486741094,3.518136200929051e-19,0.1823808486741094,27
latent_71,0.17760767408984407,2.9585177453139003e-18,0.17760767408984407,28
latent_8,0.17653352517350623,4.738736021977857e-18,0.17653352517350623,29
latent_194,-0.17637673397661235,5.074788774921387e-18,0.17637673397661235,30
latent_217,0.17560912589620864,7.090821100113895e-18,0.17560912589620864,31
latent_69,-0.1736743098496466,1.6366882199868546e-17,0.1736743098496466,32
latent_80,0.17360924337067005,1.6831000976010518e-17,0.17360924337067005,33
latent_48,0.1718121647852741,3.6278927924449226e-17,0.1718121647852741,34
latent_38,0.17120483140023188,4.694249673608419e-17,0.17120483140023188,35
latent_202,-0.17085491029019245,5.4432623903337606e-17,0.17085491029019245,36
latent_190,0.16971437517948246,8.799815759490854e-17,0.16971437517948246,37
latent_132,-0.1696443038177075,9.062400372084721e-17,0.1696443038177075,38
latent_155,-0.16921412081734336,1.085224808430383e-16,0.16921412081734336,39
latent_152,0.16762785641017877,2.1008114627960264e-16,0.16762785641017877,40
latent_182,-0.1654074282165391,5.239239037893521e-16,0.1654074282165391,41
latent_136,-0.16421525344355103,8.513623160157735e-16,0.16421525344355103,42
