Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_58,0.016141940860760123,54.33104568678653,3.942754040873681e-24,1
latent_63,0.011081599759505739,37.1079328634992,9.415761786662024e-17,2
latent_169,0.007729988730737985,25.79727029046782,6.915152628021197e-12,3
latent_96,0.006935656886972587,23.127834505881225,9.786373374515733e-11,4
latent_211,0.0065646120409161785,21.88236199050039,3.3718826315228864e-10,5
latent_65,0.006090863496970469,20.29349940496941,1.6350849491763256e-09,6
latent_60,0.006024638082860591,20.071512610647577,2.0387498740239502e-09,7
latent_7,0.0060159469455356085,20.04238221822824,2.0986448609004645e-09,8
latent_3,0.005980256729030156,19.922763398055398,2.363617220994137e-09,9
latent_53,0.005897167233820137,19.644315106170456,3.1173641895803104e-09,10
latent_146,0.005800161178018617,19.319288729484406,4.306447161836615e-09,11
latent_110,0.005715896272390126,19.03700404648673,5.701746429894224e-09,12
latent_77,0.005413464373181832,18.02426096638603,1.560950451025596e-08,13
latent_213,0.005050871755331595,16.81087137318189,5.21915654494651e-08,14
latent_29,0.004803535385268721,15.983685627817588,1.1887005536293541e-07,15
latent_172,0.004642152403410952,15.444181930161077,2.0336179381673723e-07,16
latent_121,0.004558518097457079,15.164661061620283,2.685995494814119e-07,17
latent_190,0.004540438093651714,15.104240616598972,2.8525033704827156e-07,18
latent_216,0.004534501423280806,15.084401704191409,2.909397102027527e-07,19
latent_175,0.004474858983498234,14.885104266401157,3.547863334687692e-07,20
latent_204,0.004454563940741824,14.817293069171882,3.795643586686274e-07,21
latent_105,0.004313955000957798,14.347556699647669,6.058916001081334e-07,22
latent_220,0.0043099947378098455,14.334328454466192,6.139247095097547e-07,23
latent_117,0.0039892306279122524,13.263247376993325,1.783813531696975e-06,24
latent_178,0.003945269397388235,13.116507766141526,2.064547273133557e-06,25
latent_64,0.003918403862489274,13.026838806127286,2.2574308181163022e-06,26
latent_14,0.003747500975998066,12.45653034163032,3.984253060824796e-06,27
latent_38,0.003719485489071316,12.363060420895733,4.373094177781017e-06,28
latent_176,0.0036639512565680562,12.177793427656603,5.25959405530898e-06,29
latent_224,0.0035924890719564112,11.93941979692959,6.669618130465941e-06,30
latent_198,0.003591832665603441,11.937230406255814,6.684183958118806e-06,31
latent_244,0.003431852878686999,11.403716685707574,1.1374616323613862e-05,32
latent_46,0.003355852672100488,11.150324971511179,1.464232012199106e-05,33
latent_231,0.003287631616808456,10.922902578927028,1.8367502380501e-05,34
latent_74,0.0031074907166578495,10.322532682696442,3.341594233835285e-05,35
latent_104,0.0030945422004956392,10.279386492236704,3.488460083568344e-05,36
latent_212,0.0030260140304445016,10.051060110732864,4.3801722107439276e-05,37
latent_177,0.0029320669992807143,9.738092608090176,5.984203218749893e-05,38
latent_90,0.0028901099377396087,9.59833931466381,6.87897500924507e-05,39
latent_128,0.002886473926429516,9.586228806875125,6.962545837668725e-05,40
latent_191,0.00285643989518496,9.486197465799945,7.692834368695797e-05,41
latent_125,0.0028487214227535043,9.46049129567199,7.8925725629314e-05,42
latent_86,0.002815325787766683,9.349272594421336,8.818271383628029e-05,43
latent_143,0.0028026499478041194,9.307059732627202,9.197393686155667e-05,44
latent_203,0.00274445820354157,9.113284369075844,0.00011158014912737368,45
latent_134,0.002738125797519447,9.092199163571562,0.00011395123158167389,46
latent_107,0.0027287378946703575,9.060940469822247,0.00011755940895812658,47
latent_25,0.0027246433356488175,9.047307090972039,0.00011916868600342129,48
latent_156,0.002696291633702812,8.952909399718598,0.00013093249017273045,49
latent_233,0.0026903718557429912,8.933200030235925,0.00013353159730736654,50
latent_162,0.0026414550842569695,8.770344983865247,0.00015708059579287994,51
latent_126,0.0026362247243393363,8.752932872699219,0.00015983230726516372,52
latent_57,0.002619852787240038,8.698431113943876,0.0001687610336217142,53
latent_93,0.002618620201309082,8.69432793941395,0.00016945309102198532,54
latent_215,0.0026156201570992324,8.684341087834554,0.00017114939912726365,55
latent_34,0.0025634219033172615,8.510587860165952,0.00020353544042189318,56
latent_102,0.0025525131101781255,8.474277869716634,0.00021104201878242775,57
latent_242,0.0025260307142817738,8.386134343269333,0.00023043687433100857,58
latent_232,0.002518828427434073,8.362163191810332,0.0002360131790203109,59
latent_75,0.0025130756657585187,8.343016699405617,0.00024056395215438372,60
latent_113,0.00251000033827585,8.332781404344134,0.00024303259162235474,61
latent_69,0.002497870863219968,8.292412739721199,0.00025301863454296595,62
latent_197,0.002486720733777567,8.255304346386223,0.00026255984803940166,63
latent_251,0.002461972607055531,8.172943852147363,0.0002850417766867507,64
latent_27,0.002420651146254629,8.035437261239279,0.0003269498021236531,65
latent_246,0.0024001572597622403,7.967243402796158,0.00034996604394010243,66
latent_127,0.0023861905964452134,7.920770628518675,0.00036657300233449303,67
latent_201,0.0023716058879665104,7.872242755271042,0.000384756289544913,68
latent_40,0.002366336967230539,7.85471176179278,0.00039154465989720976,69
latent_76,0.002361764394211215,7.839497838293396,0.0003975328371041749,70
latent_253,0.002307740431397758,7.6597591745154245,0.00047560922356400123,71
latent_183,0.0022955202950459613,7.619105267817068,0.0004952966592119476,72
latent_132,0.002270164665127172,7.5347554240927845,0.0005387836941999658,73
latent_67,0.0022347590608726674,7.416979792876295,0.0006059663927208298,74
latent_109,0.0020963933484104166,6.956790743101184,0.0009591207705798065,75
latent_145,0.0020812974067964726,6.906591032612524,0.0010083915865127858,76
latent_48,0.0020782942507710685,6.896604585087447,0.0010184911329395045,77
latent_254,0.0020727224721568704,6.8780768109186665,0.0010374975070391779,78
latent_99,0.0020254595876694217,6.720922381242385,0.0012136641126608706,79
latent_62,0.0020159593894868324,6.689334945879152,0.0012525326011289487,80
latent_199,0.0019606912816340417,6.5055846221818,0.0015046383204223037,81
latent_210,0.001936110082360872,6.423865849176333,0.0016324992173459138,82
latent_103,0.0018995376996916067,6.302290530986742,0.001843109813214988,83
