Feature,Correlation,P_Value,Abs_Correlation,Rank
latent_5,-0.827791343734248,0.0,0.827791343734248,1
latent_93,-0.8167424483219274,0.0,0.8167424483219274,2
latent_251,0.7030215490184876,0.0,0.7030215490184876,3
latent_1,-0.6207579678210702,0.0,0.6207579678210702,4
latent_155,0.5950632057351121,0.0,0.5950632057351121,5
latent_44,0.5060509767335037,0.0,0.5060509767335037,6
latent_73,-0.499152355880737,0.0,0.499152355880737,7
latent_116,0.49638553513914757,0.0,0.49638553513914757,8
latent_61,0.4638552667448923,0.0,0.4638552667448923,9
latent_170,0.4458053576640995,2.767e-321,0.4458053576640995,10
latent_213,-0.4381152808557872,4.060551927944336e-309,0.4381152808557872,11
latent_249,-0.4157183952867013,1.9746930357100578e-275,0.4157183952867013,12
latent_77,0.3867596880506884,1.597905395614879e-235,0.3867596880506884,13
latent_159,0.3855482643682784,6.129759849873045e-234,0.3855482643682784,14
latent_31,-0.3701565190631516,2.1666111548999577e-214,0.3701565190631516,15
latent_48,0.35203948603768487,1.0347477788645102e-192,0.35203948603768487,16
latent_17,-0.34473600895444334,2.290976627267595e-184,0.34473600895444334,17
latent_182,-0.3395765077793498,1.3242595614301503e-178,0.3395765077793498,18
latent_23,-0.31882015963969024,1.6280689605272217e-156,0.31882015963969024,19
latent_169,0.3173326553832806,5.3571588552993286e-155,0.3173326553832806,20
latent_62,-0.31090676027102243,1.528285174813909e-148,0.31090676027102243,21
latent_136,0.3010115957289441,6.505300725084181e-139,0.3010115957289441,22
latent_211,-0.29277686314106305,3.493196124220962e-131,0.29277686314106305,23
latent_126,0.28329317590609204,1.3554811406515818e-122,0.28329317590609204,24
latent_179,0.2761785345519222,2.2824574923832414e-116,0.2761785345519222,25
latent_177,-0.2731746447720925,8.550710397620316e-114,0.2731746447720925,26
latent_128,-0.2696345730450108,8.379455250671938e-111,0.2696345730450108,27
latent_236,0.26404387668020046,3.595191517841553e-106,0.26404387668020046,28
latent_125,0.26379066402094625,5.79296424676019e-106,0.26379066402094625,29
latent_252,0.25726603331607234,1.0546836727436508e-100,0.25726603331607234,30
latent_40,0.25482362497602473,8.98796854981389e-99,0.25482362497602473,31
latent_187,-0.25412424655623334,3.181407043519359e-98,0.25412424655623334,32
latent_71,-0.25187794121446117,1.7957218690865012e-96,0.25187794121446117,33
latent_199,-0.24774220269882705,2.711906681333224e-93,0.24774220269882705,34
latent_86,0.2446082406259345,6.350766088736635e-91,0.2446082406259345,35
latent_35,0.2364138306638336,6.903401507439712e-85,0.2364138306638336,36
latent_215,0.23290572629797218,2.2554475269000594e-82,0.23290572629797218,37
latent_96,-0.22438770979360817,1.927178888339619e-76,0.22438770979360817,38
latent_103,-0.2047859519766019,1.0422231464473194e-63,0.2047859519766019,39
latent_176,-0.20096487333821583,2.2557966646859545e-61,0.20096487333821583,40
latent_160,0.19733200279865382,3.3862371500271243e-59,0.19733200279865382,41
latent_185,-0.19506975595470116,7.302600560848382e-58,0.19506975595470116,42
latent_63,-0.19168054837808685,6.774219897167312e-56,0.19168054837808685,43
latent_121,0.1861918763175292,8.68825427046503e-53,0.1861918763175292,44
latent_70,-0.18226386530922115,1.271537890945459e-50,0.18226386530922115,45
latent_130,-0.18024724616680163,1.5740592304758782e-49,0.18024724616680163,46
latent_203,-0.17402382195384736,3.0774861017995005e-46,0.17402382195384736,47
latent_224,0.17343677612006525,6.1995127281453385e-46,0.17343677612006525,48
latent_47,0.16889494016223722,1.2855505538148383e-43,0.16889494016223722,49
latent_117,0.1686913030461808,1.6272370434911947e-43,0.1686913030461808,50
latent_30,-0.1670024194893455,1.136085137897928e-42,0.1670024194893455,51
latent_101,-0.16337851154842575,6.860510306728866e-41,0.16337851154842575,52
latent_181,0.16137994394140448,6.325428912394251e-40,0.16137994394140448,53
latent_248,-0.1563531413766583,1.4892060493480169e-37,0.1563531413766583,54
latent_175,0.15363774912628636,2.6410678135645443e-36,0.15363774912628636,55
latent_105,0.15266607496071333,7.297101764742543e-36,0.15266607496071333,56
latent_184,0.14875815041624196,4.064757916159236e-34,0.14875815041624196,57
latent_110,-0.14693113672904043,2.5658442694069005e-33,0.14693113672904043,58
latent_111,0.14458745502695095,2.6351161694342113e-32,0.14458745502695095,59
latent_29,0.14349840638683842,7.676353305119436e-32,0.14349840638683842,60
latent_92,0.14065181744398042,1.2074475084058905e-30,0.14065181744398042,61
latent_106,-0.1401961608600969,1.8669943964199158e-30,0.1401961608600969,62
latent_118,0.1369919140542632,3.8404681917034983e-29,0.1369919140542632,63
latent_107,-0.1360095434183286,9.567106341689293e-29,0.1360095434183286,64
latent_115,-0.1355326806387433,1.4864431631946358e-28,0.1355326806387433,65
latent_254,-0.13531244345080123,1.8209537468388405e-28,0.13531244345080123,66
latent_129,-0.13429075718528907,4.648545988613139e-28,0.13429075718528907,67
latent_3,0.13260423672387595,2.1493381109105378e-27,0.13260423672387595,68
latent_135,0.13140936037874104,6.284264417410278e-27,0.13140936037874104,69
latent_64,0.1307688731290984,1.1123673070216765e-26,0.1307688731290984,70
latent_43,0.12387651789105705,4.335517844009963e-24,0.12387651789105705,71
latent_25,-0.1229880594798571,9.134007377692319e-24,0.1229880594798571,72
latent_4,0.12292698141998391,9.612191394073285e-24,0.12292698141998391,73
latent_198,0.12283977227620782,1.033820983461414e-23,0.12283977227620782,74
latent_26,0.12176236630770518,2.5307641052032934e-23,0.12176236630770518,75
latent_148,0.12138157206148517,3.4661054216382326e-23,0.12138157206148517,76
latent_231,0.12100876734976904,4.711370660863725e-23,0.12100876734976904,77
latent_173,0.11820296743888073,4.604159870897184e-22,0.11820296743888073,78
latent_95,0.11442321089529608,9.11627351533317e-21,0.11442321089529608,79
latent_200,0.11409802843933764,1.1732578300581661e-20,0.11409802843933764,80
latent_98,-0.11398959766478317,1.276031903678942e-20,0.11398959766478317,81
latent_102,0.11013345352887201,2.3997516862717716e-19,0.11013345352887201,82
latent_154,0.10871858844492521,6.866072140522037e-19,0.10871858844492521,83
latent_55,0.10643365399712576,3.643684368428002e-18,0.10643365399712576,84
latent_119,0.10498885981514809,1.0278540398813811e-17,0.10498885981514809,85
latent_16,0.10487713723970878,1.1130212955473471e-17,0.10487713723970878,86
latent_186,-0.10338558723328134,3.1955400837909696e-17,0.10338558723328134,87
latent_45,-0.10191396311456451,8.913881013961707e-17,0.10191396311456451,88
latent_38,0.10064459583703543,2.13431299735323e-16,0.10064459583703543,89
latent_253,0.09840060323720637,9.728704854107296e-16,0.09840060323720637,90
latent_52,0.09691021022548216,2.615014242086087e-15,0.09691021022548216,91
latent_168,0.09480304515876095,1.0316678695400561e-14,0.09480304515876095,92
latent_163,0.09458729908871319,1.185328776115677e-14,0.09458729908871319,93
latent_80,0.09305323826589018,3.152724753966696e-14,0.09305323826589018,94
latent_60,0.09212767627688351,5.6454981931377685e-14,0.09212767627688351,95
latent_167,-0.09171368209298919,7.312531372630314e-14,0.09171368209298919,96
latent_127,0.09100127281405737,1.138315914918179e-13,0.09100127281405737,97
latent_18,-0.09025022296248508,1.808367583060592e-13,0.09025022296248508,98
latent_221,-0.090199588984778,1.8654360171485294e-13,0.090199588984778,99
latent_239,0.0894773780354186,2.900250805611076e-13,0.0894773780354186,100
latent_139,0.08491811670118213,4.339787485352102e-12,0.08491811670118213,101
latent_247,0.08444130747276823,5.7132394253052875e-12,0.08444130747276823,102
latent_19,0.0843175443814125,6.134382443169182e-12,0.0843175443814125,103
