Feature,Correlation,P_Value,Abs_Correlation,Rank
latent_163,0.4406859447492821,2.5080875601602738e-113,0.4406859447492821,1
latent_119,-0.36364443696929655,4.23577233582044e-75,0.36364443696929655,2
latent_118,0.298392310987979,5.313295474567424e-50,0.298392310987979,3
latent_116,-0.283779399905135,3.40993258243696e-45,0.283779399905135,4
latent_249,-0.2143731237129035,4.5495711883607964e-26,0.2143731237129035,5
latent_222,-0.2136510326428609,6.701559427314989e-26,0.2136510326428609,6
latent_99,-0.195595171384998,6.836251706382519e-22,0.195595171384998,7
latent_213,0.19379329252392427,1.6376621604537277e-21,0.19379329252392427,8
latent_187,-0.18412573476777155,1.5371156955380248e-19,0.18412573476777155,9
latent_76,0.1806432778506796,7.435750534557487e-19,0.1806432778506796,10
latent_83,-0.17904150905806598,1.5192793131643057e-18,0.17904150905806598,11
latent_212,0.17847895141707631,1.9495730704441153e-18,0.17847895141707631,12
latent_110,0.17757992736989814,2.8992158822589664e-18,0.17757992736989814,13
latent_44,0.17522069489878483,8.132787826092156e-18,0.17522069489878483,14
latent_179,-0.1732619050074226,1.8942693363072556e-17,0.1732619050074226,15
latent_130,-0.17156710392401955,3.9057688647798013e-17,0.17156710392401955,16
latent_121,0.16924429414636089,1.0404861760350084e-16,0.16924429414636089,17
latent_63,-0.16827502529627508,1.559670681343035e-16,0.16827502529627508,18
latent_107,0.168058480423471,1.7067326681533973e-16,0.168058480423471,19
latent_198,0.16011985446741078,4.2761508998185175e-15,0.16011985446741078,20
latent_250,-0.15976377116662951,4.922375494122341e-15,0.15976377116662951,21
latent_15,-0.15790821561382987,1.0196057735825924e-14,0.15790821561382987,22
latent_133,0.15064147218855384,1.6246881567878351e-13,0.15064147218855384,23
latent_66,0.14939524766399168,2.577492729694302e-13,0.14939524766399168,24
latent_39,-0.14364481308459406,2.0618686028186793e-12,0.14364481308459406,25
latent_143,-0.14088016671284437,5.4417537908345614e-12,0.14088016671284437,26
latent_113,-0.13986985003557295,7.721750847901279e-12,0.13986985003557295,27
latent_50,-0.13484932208446504,4.233670318187946e-11,0.13484932208446504,28
latent_56,-0.13456943365986168,4.646468252450187e-11,0.13456943365986168,29
latent_43,0.1301583041873301,1.9629905293383827e-10,0.1301583041873301,30
latent_206,0.12900365286955912,2.839957396270115e-10,0.12900365286955912,31
latent_155,-0.1273473421837949,4.796503229093691e-10,0.1273473421837949,32
latent_196,0.1271036218591228,5.178120122071545e-10,0.1271036218591228,33
latent_40,-0.12633895491835892,6.577749720140658e-10,0.12633895491835892,34
latent_120,-0.12452919872707816,1.152210107598746e-09,0.12452919872707816,35
latent_13,-0.12272163974497048,2.0009791548357297e-09,0.12272163974497048,36
latent_226,-0.12096238110594773,3.3981741038023277e-09,0.12096238110594773,37
latent_230,0.11746455454703279,9.525636198591227e-09,0.11746455454703279,38
latent_203,-0.11670754595894378,1.1860093930816612e-08,0.11670754595894378,39
latent_36,0.1150114905446158,1.9283831913159567e-08,0.1150114905446158,40
latent_229,0.11458049862435804,2.179513554194087e-08,0.11458049862435804,41
latent_191,0.11345945468022153,2.990486620793943e-08,0.11345945468022153,42
latent_134,-0.11014295952221445,7.490538059326038e-08,0.11014295952221445,43
latent_75,0.10919623972749146,9.688326676072947e-08,0.10919623972749146,44
latent_111,-0.10913622053254896,9.846936754979219e-08,0.10913622053254896,45
latent_159,0.10502530017238448,2.934046313698311e-07,0.10502530017238448,46
latent_28,0.10362251211612346,4.219622207996188e-07,0.10362251211612346,47
latent_32,0.10360672027182555,4.2368054843924653e-07,0.10360672027182555,48
latent_58,-0.10291633727038421,5.057632305041027e-07,0.10291633727038421,49
latent_205,-0.10283794106416638,5.159998392036168e-07,0.10283794106416638,50
latent_23,-0.10166203354596307,6.956991982253229e-07,0.10166203354596307,51
latent_167,0.0996678599681246,1.1461678237376024e-06,0.0996678599681246,52
latent_168,-0.0933391127419154,5.253037823651776e-06,0.0933391127419154,53
latent_154,-0.09304655289277826,5.6232322272932554e-06,0.09304655289277826,54
latent_105,-0.09270758896090936,6.083362741229726e-06,0.09270758896090936,55
latent_25,0.09210667901497417,6.988931936068264e-06,0.09210667901497417,56
latent_49,-0.09162585296901682,7.804948784589131e-06,0.09162585296901682,57
latent_136,0.09123015525918474,8.544018827107414e-06,0.09123015525918474,58
latent_122,0.0908395995721101,9.338731759292286e-06,0.0908395995721101,59
latent_57,-0.0905824478398615,9.900008102986173e-06,0.0905824478398615,60
latent_209,-0.09018011267090767,1.0843250925708879e-05,0.09018011267090767,61
latent_189,0.08856504368708296,1.5565662160635755e-05,0.08856504368708296,62
latent_11,0.08757891385826459,1.9352453072474276e-05,0.08757891385826459,63
latent_17,-0.08631133834895258,2.551831052679424e-05,0.08631133834895258,64
latent_30,-0.08474507367846792,3.57300703552414e-05,0.08474507367846792,65
latent_86,0.0845767943799894,3.703332256053581e-05,0.0845767943799894,66
latent_53,-0.08336609255697564,4.782913657726736e-05,0.08336609255697564,67
latent_126,-0.0816721950963607,6.802402473775178e-05,0.0816721950963607,68
latent_255,0.08087151077386463,8.016191208748074e-05,0.08087151077386463,69
latent_234,0.07910576482098855,0.00011453849196812952,0.07910576482098855,70
latent_70,0.07871744354708493,0.00012377058368159689,0.07871744354708493,71
latent_27,-0.07806245620207747,0.0001409488295878048,0.07806245620207747,72
latent_71,-0.07713906449470881,0.00016900873161032048,0.07713906449470881,73
latent_161,0.07664174859015135,0.00018621849383467442,0.07664174859015135,74
latent_131,-0.07552829913087959,0.00023089798552410206,0.07552829913087959,75
latent_92,-0.07464088008659908,0.00027351183795489123,0.07464088008659908,76
latent_62,-0.07456228528172563,0.00027762143775669366,0.07456228528172563,77
latent_22,-0.0742853990485779,0.00029256472223578223,0.0742853990485779,78
latent_215,-0.0739935981936819,0.0003091257256963315,0.0739935981936819,79
latent_55,-0.07350518230465197,0.0003388225411031749,0.07350518230465197,80
latent_14,-0.07269262715915213,0.00039420710641242026,0.07269262715915213,81
latent_165,-0.07262693278577356,0.0003990358590122821,0.07262693278577356,82
latent_183,-0.07257698269883858,0.0004027442528134612,0.07257698269883858,83
latent_33,0.07094887356372864,0.0005427843643534673,0.07094887356372864,84
latent_97,0.07091295838747635,0.0005463320865225091,0.07091295838747635,85
latent_158,-0.07075513690943336,0.0005621791508418984,0.07075513690943336,86
latent_166,0.06979519425546661,0.0006681569333923731,0.06979519425546661,87
latent_20,0.06925396979986444,0.0007358114649959183,0.06925396979986444,88
latent_201,0.0674425453534214,0.00101127453807612,0.0674425453534214,89
latent_4,0.06672260751744773,0.001145153367408611,0.06672260751744773,90
latent_0,0.06662164735561252,0.0011651853096044274,0.06662164735561252,91
latent_231,0.06622552190248157,0.0012469486160601412,0.06622552190248157,92
latent_195,0.06611039803852459,0.0012716854960416594,0.06611039803852459,93
latent_102,0.06599171749811975,0.001297659898056595,0.06599171749811975,94
latent_137,0.06589462428622131,0.0013192726794167106,0.06589462428622131,95
latent_178,-0.06573213754469295,0.0013561858888816096,0.06573213754469295,96
latent_64,0.06500676906752682,0.0015328736849602534,0.06500676906752682,97
latent_78,-0.06485067501776193,0.0015735651778819423,0.06485067501776193,98
latent_51,-0.06482494319443875,0.0015803677500282577,0.06482494319443875,99
latent_180,0.06477600889781275,0.001593378933937869,0.06477600889781275,100
latent_74,-0.06455828468916866,0.0016524731163341496,0.06455828468916866,101
latent_190,-0.06400021732551718,0.0018132643110143618,0.06400021732551718,102
latent_232,-0.06233594687498672,0.0023819062340695828,0.06233594687498672,103
latent_84,-0.06216008212955854,0.002450674554720647,0.06216008212955854,104
latent_112,0.06211787679453415,0.002467446005974452,0.06211787679453415,105
latent_214,0.062087282123311445,0.00247966918619258,0.062087282123311445,106
latent_81,0.06174055075108352,0.0026221169826002445,0.06174055075108352,107
latent_150,-0.0607183797279084,0.0030866568499380025,0.0607183797279084,108
latent_211,-0.060675907468428436,0.0031074903705201095,0.060675907468428436,109
latent_239,-0.06040474458409441,0.0032435494945596676,0.06040474458409441,110
latent_12,-0.05998113105336257,0.0034669869797898057,0.05998113105336257,111
latent_34,0.05988066816187106,0.0035219901249894914,0.05988066816187106,112
latent_251,-0.05966835689107659,0.003640848816360631,0.05966835689107659,113
latent_162,0.05798201557470577,0.004722268729157661,0.05798201557470577,114
latent_94,0.057386475125708006,0.0051687447513742235,0.057386475125708006,115
latent_108,0.05668058577238991,0.005747093665628257,0.05668058577238991,116
latent_31,-0.05658280312376196,0.005831649963714777,0.05658280312376196,117
latent_242,-0.05627364762406972,0.006106412291211511,0.05627364762406972,118
latent_188,-0.05566366485535496,0.0066829530482722015,0.05566366485535496,119
latent_88,-0.05527836064861,0.007071882389267961,0.05527836064861,120
latent_114,-0.0550036763407549,0.007361426958095877,0.0550036763407549,121
latent_193,0.054467876880490845,0.007956971101946382,0.054467876880490845,122
latent_103,-0.05414302514955912,0.008338703437665563,0.05414302514955912,123
latent_48,-0.053640171191807307,0.008961942554175808,0.053640171191807307,124
latent_93,0.05336177555473348,0.009324580283465382,0.05336177555473348,125
latent_200,0.052274733104076286,0.010869012966510935,0.052274733104076286,126
latent_128,-0.051310810954772385,0.012424370144829458,0.051310810954772385,127
latent_204,-0.0507768198203914,0.013368207886795366,0.0507768198203914,128
latent_26,0.04941528705254579,0.016066938887152996,0.04941528705254579,129
latent_54,0.04939324784718814,0.016114300877851012,0.04939324784718814,130
latent_194,0.0484899116660368,0.018164104224581392,0.0484899116660368,131
latent_38,-0.04833395086099688,0.01854020743706734,0.04833395086099688,132
latent_18,-0.04810295116375667,0.01910977958437275,0.04810295116375667,133
latent_19,-0.04803239420720089,0.01928677150033351,0.04803239420720089,134
latent_59,0.04778797480872301,0.019911014014779124,0.04778797480872301,135
latent_208,0.04757616460605331,0.020466156898689317,0.04757616460605331,136
latent_254,0.04748680021199474,0.020704393207883774,0.04748680021199474,137
latent_104,-0.04746492677847205,0.020763072308657496,0.04746492677847205,138
latent_164,-0.04721984008011747,0.021430528321161903,0.04721984008011747,139
latent_1,0.04673262134452841,0.022813025015743914,0.04673262134452841,140
latent_72,-0.046526056549726566,0.023422142859009395,0.046526056549726566,141
latent_124,0.044232895462309754,0.031188755166507483,0.044232895462309754,142
latent_3,0.04397016522549905,0.03220590386304953,0.04397016522549905,143
latent_95,0.043619380805234156,0.033608135759128466,0.043619380805234156,144
latent_186,-0.04354054128565351,0.033930375732788724,0.04354054128565351,145
latent_77,-0.04336909883424088,0.0346402325935736,0.04336909883424088,146
latent_146,-0.04329414883621194,0.034954522863559885,0.04329414883621194,147
latent_10,0.04275422130414698,0.03729131103453753,0.04275422130414698,148
latent_202,0.04272156693501279,0.03743680222739701,0.04272156693501279,149
latent_149,-0.042720723492037455,0.03744056656565814,0.042720723492037455,150
latent_221,-0.04235110518954095,0.03912147614215203,0.04235110518954095,151
latent_236,0.042338425782746714,0.039180256470961766,0.042338425782746714,152
latent_67,0.042335750599706415,0.03919266789452783,0.042335750599706415,153
latent_192,-0.041996535772410554,0.04079371140127674,0.041996535772410554,154
latent_157,0.04160197779773237,0.04272532114840634,0.04160197779773237,155
latent_173,0.04111147440095563,0.04523387926464813,0.04111147440095563,156
latent_100,0.03999081222901253,0.051433740822477494,0.03999081222901253,157
latent_244,-0.03901944497174708,0.05736833005221396,0.03901944497174708,158
latent_69,0.03876346859305992,0.059023687615603636,0.03876346859305992,159
latent_123,0.038660043585150086,0.05970366739427026,0.038660043585150086,160
latent_181,-0.037529012564138126,0.06757233060366043,0.037529012564138126,161
latent_218,-0.03710130954951643,0.07076188054273075,0.03710130954951643,162
latent_8,0.03610077296853807,0.07870674270972533,0.03610077296853807,163
latent_219,-0.03493145526643073,0.08889525862038371,0.03493145526643073,164
latent_135,0.03492993401252642,0.08890917431764031,0.03492993401252642,165
latent_141,-0.03481423633004664,0.08997267096838667,0.03481423633004664,166
latent_106,-0.034228313338156215,0.09551657794105602,0.034228313338156215,167
latent_16,-0.0333489620024191,0.10434620895731016,0.0333489620024191,168
latent_46,0.03309852089915116,0.10697604602419648,0.03309852089915116,169
latent_82,-0.032423283964419757,0.11432851105356225,0.032423283964419757,170
latent_138,0.032071717355662846,0.11831095048179306,0.032071717355662846,171
latent_160,-0.03201793986806828,0.1189295996935632,0.03201793986806828,172
latent_52,0.03056273876436823,0.1366508091365703,0.03056273876436823,173
latent_91,0.03023429644234276,0.1409189937489231,0.03023429644234276,174
latent_241,0.029571317486389873,0.1498456848087593,0.029571317486389873,175
latent_129,0.02953049813999712,0.15040907320498423,0.02953049813999712,176
latent_174,0.029104689650423683,0.15638266828111252,0.029104689650423683,177
latent_89,0.028987569515727812,0.15805685090293536,0.028987569515727812,178
latent_246,0.02820246675363501,0.16963154111750647,0.02820246675363501,179
latent_233,-0.028030327624415364,0.17225221592126014,0.028030327624415364,180
latent_170,-0.027863003408220535,0.17482848466179274,0.027863003408220535,181
latent_35,-0.02776434894637628,0.17636086334349127,0.02776434894637628,182
latent_216,0.027066312568441102,0.18749020360965912,0.027066312568441102,183
latent_182,-0.027026292142168132,0.18814363994286823,0.027026292142168132,184
latent_142,-0.02636980177050112,0.19910331991679345,0.02636980177050112,185
latent_24,0.026301547787434862,0.20026899631092376,0.026301547787434862,186
latent_87,-0.02622359569911055,0.20160638350516133,0.02622359569911055,187
latent_175,0.02604454796604412,0.20470283926594324,0.02604454796604412,188
latent_171,-0.026037036197262477,0.20483349929168332,0.026037036197262477,189
latent_220,0.025913655053203685,0.2069882752784948,0.025913655053203685,190
latent_73,-0.02565144133286496,0.21162217677058393,0.02565144133286496,191
latent_60,-0.025602368214710822,0.21249766899242786,0.025602368214710822,192
latent_148,-0.025551688084128055,0.21340457232745996,0.025551688084128055,193
latent_145,0.024972549075780743,0.22396677439391421,0.024972549075780743,194
latent_65,0.024300894959557073,0.23667783469579118,0.024300894959557073,195
latent_68,0.02263844321451326,0.27030656795059194,0.02263844321451326,196
latent_80,0.02235466235884875,0.2763590244071122,0.02235466235884875,197
latent_42,0.02224765495816696,0.2786650647377833,0.02224765495816696,198
latent_125,-0.022181090311177466,0.280106134567374,0.022181090311177466,199
latent_29,-0.02173445685901704,0.2899061643838308,0.02173445685901704,200
latent_139,-0.02170719306283733,0.2905117671616933,0.02170719306283733,201
latent_140,-0.021218946909509914,0.30150106433868085,0.021218946909509914,202
latent_37,0.02054118154633747,0.3172088522775827,0.02054118154633747,203
latent_199,0.02015308064958842,0.3264406627816925,0.02015308064958842,204
latent_6,0.020094447809542507,0.32785039132042143,0.020094447809542507,205
latent_132,0.019976049603004788,0.33070909415118666,0.019976049603004788,206
latent_115,0.019942674954295754,0.3315178222591649,0.019942674954295754,207
latent_169,0.019441980847468808,0.34380370781357467,0.019441980847468808,208
latent_247,0.018629715490550647,0.3643442773170624,0.018629715490550647,209
latent_153,0.01808319714833795,0.37858702160410646,0.01808319714833795,210
latent_117,-0.017919905618405,0.3829081286265215,0.017919905618405,211
latent_184,0.017592724962533373,0.39165656735907906,0.017592724962533373,212
latent_172,0.01703548987538231,0.4068326265631747,0.01703548987538231,213
latent_177,0.0158690637669881,0.4397128765489684,0.0158690637669881,214
latent_109,0.015745216353554976,0.443291321185412,0.015745216353554976,215
latent_227,-0.015726266706149968,0.44384031516639033,0.015726266706149968,216
latent_228,-0.015521114895639256,0.4498085938292511,0.015521114895639256,217
latent_41,0.015415925019382687,0.45288632526509076,0.015415925019382687,218
latent_2,0.015305401304770306,0.4561328831678116,0.015305401304770306,219
latent_90,-0.015213814892179437,0.4588330522740588,0.015213814892179437,220
latent_207,-0.014593696977876956,0.4773491490601426,0.014593696977876956,221
latent_240,0.014468277832343395,0.48114310357347034,0.014468277832343395,222
latent_61,0.013810395217966443,0.5013102643289691,0.013810395217966443,223
latent_21,0.013592644935140901,0.5080825508087856,0.013592644935140901,224
latent_245,0.012631205739232303,0.5385481718702845,0.012631205739232303,225
latent_243,0.012468564072177233,0.5437909748220165,0.012468564072177233,226
latent_225,0.011516918828366047,0.5749667345315236,0.011516918828366047,227
latent_79,-0.011411525514389507,0.5784706910209075,0.011411525514389507,228
latent_45,0.010871103447454983,0.5965935080987302,0.010871103447454983,229
latent_47,0.009228814889850423,0.6531863420865937,0.009228814889850423,230
latent_253,0.008753116421132362,0.6699781601144054,0.008753116421132362,231
latent_144,-0.008165903650973246,0.690935116722883,0.008165903650973246,232
latent_223,0.008095436103312708,0.69346639918257,0.008095436103312708,233
latent_147,0.0075769134630334235,0.7121960012651666,0.0075769134630334235,234
latent_5,0.007025067594515504,0.7323214106879853,0.007025067594515504,235
latent_185,-0.006279964217643649,0.7597869753298468,0.006279964217643649,236
latent_224,-0.00568784507420274,0.7818332442842316,0.00568784507420274,237
latent_235,-0.00545846201407079,0.790422214329031,0.00545846201407079,238
latent_9,-0.005058395583852298,0.8054626782726806,0.005058395583852298,239
latent_156,0.004754352651479074,0.8169417732636406,0.004754352651479074,240
latent_252,0.004292693050184525,0.8344461593625396,0.004292693050184525,241
latent_238,-0.0037198353788666042,0.8562803265161035,0.0037198353788666042,242
latent_248,0.003642201657457142,0.8592481617801638,0.003642201657457142,243
latent_98,0.0035174673858423787,0.8640207363874156,0.0035174673858423787,244
latent_210,0.003185494517380795,0.8767463813268955,0.003185494517380795,245
latent_176,0.0024730844913058996,0.9041590188613852,0.0024730844913058996,246
latent_151,-0.0024547491469897624,0.9048661925538478,0.0024547491469897624,247
latent_7,-0.0023872246782097916,0.9074711816103246,0.0023872246782097916,248
latent_127,0.0010839312877930479,0.957911798312571,0.0010839312877930479,249
latent_101,-0.00103428110452357,0.959838008903087,0.00103428110452357,250
latent_85,-0.0008871615878925636,0.965546937425757,0.0008871615878925636,251
latent_237,0.0008374486886083823,0.967476445159881,0.0008374486886083823,252
latent_152,0.0008227070606968297,0.9680486493453047,0.0008227070606968297,253
latent_96,0.0005660232466362016,0.9780143464650602,0.0005660232466362016,254
latent_197,0.0004294717356655188,0.9833174280432435,0.0004294717356655188,255
latent_217,0.00021504604726844435,0.9916462094799965,0.00021504604726844435,256
