Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_39,0.1783562344174514,34.094847904439206,2.192906919160183e-89,1
latent_213,0.173430674971676,32.95570884464878,2.089828958830598e-86,2
latent_126,0.11925451193544498,21.267107159211154,5.598909998781181e-55,3
latent_134,0.11888312896750484,21.19194105084931,9.016604383989663e-55,4
latent_73,0.11088177913368388,19.587756761556495,2.42476529171979e-50,5
latent_231,0.11060244779800615,19.532275255083523,3.4538829992152416e-50,6
latent_160,0.09818168495520097,17.09997427016565,1.9957293414678677e-43,7
latent_57,0.09752570931454994,16.973378892272134,4.501377634824191e-43,8
latent_8,0.09377697656987913,16.253435124786137,4.617552955238482e-41,9
latent_99,0.09235643049652048,15.982173146729384,2.648848660841144e-40,10
latent_219,0.09106723874932932,15.736727998684072,1.2879565808912592e-39,11
latent_19,0.0889719958834086,15.339303245280835,1.670327040488353e-38,12
latent_251,0.08778064703642757,15.114142868229042,7.14013083911016e-38,13
latent_241,0.08691689593625883,14.95126463403347,2.042964484131531e-37,14
latent_42,0.08640630375826278,14.855126700334406,3.800162255620117e-37,15
latent_182,0.08563188754212958,14.709519014681135,9.730306591648969e-37,16
latent_133,0.08463620282666241,14.522669891859893,3.2527204404666777e-36,17
latent_31,0.08083576441517454,13.81320505368131,3.1887344584499068e-34,18
latent_179,0.07935356486468166,13.538096109154743,1.889166039822911e-33,19
latent_201,0.07914156472209148,13.498819459618394,2.435548393884606e-33,20
latent_65,0.07747384051226795,13.190474609287978,1.7899911803187115e-32,21
latent_85,0.07672553232584421,13.052482260236236,4.3710273495112966e-32,22
latent_32,0.07630359238187095,12.974772675598883,7.226806066079349e-32,23
latent_24,0.07615477015119285,12.947380699656346,8.628186789999504e-32,24
latent_144,0.07534616330191161,12.79870395413464,2.2580133323753967e-31,25
latent_36,0.07434778078419584,12.61549193036095,7.3894545303729244e-31,26
latent_244,0.07420699615167729,12.589688494556498,8.732332868552459e-31,27
latent_115,0.07284944439144005,12.341274380806267,4.3579476357224264e-30,28
latent_186,0.07228546492071308,12.238287311706642,8.486322469020921e-30,29
latent_116,0.07196429654460679,12.179695387997754,1.239897551707267e-29,30
latent_103,0.0711555032216637,12.032323757938029,3.21771167614736e-29,31
latent_61,0.07109843912157852,12.02193570163553,3.441439456690591e-29,32
latent_22,0.07058756186704705,11.92899147428689,6.279583721162895e-29,33
latent_23,0.06992628986200508,11.808837451563644,1.3663708636215945e-28,34
latent_18,0.06957664081554014,11.745374772554804,2.0601160290224843e-28,35
latent_220,0.06931464652194284,11.697853028087332,2.801673465529198e-28,36
latent_52,0.0665603124936632,11.199873495415762,7.019164343796701e-27,37
latent_235,0.06494529692261262,10.909245490921245,4.5949566809132045e-26,38
latent_163,0.0639987798279999,10.739382387205307,1.377278771556394e-25,39
latent_104,0.06395549803556272,10.731623197797537,1.4480889686079954e-25,40
latent_191,0.06359116130030343,10.666336457022837,2.2079317750851727e-25,41
latent_63,0.06333840209251639,10.621073513517958,2.957848918513904e-25,42
latent_5,0.06324311810895804,10.60401684045033,3.302381414227231e-25,43
latent_90,0.06279592837489364,10.524012270860768,5.53668810013628e-25,44
latent_250,0.06187492279271915,10.359479891786803,1.6019584718198045e-24,45
latent_114,0.061677678264759346,10.324285278506164,2.0105898832499267e-24,46
latent_41,0.0613293141317053,10.26216231596628,3.0024106552751735e-24,47
latent_7,0.0608937010330402,10.184545298841273,4.95460173568276e-24,48
latent_27,0.06087677690814519,10.181531231751316,5.051907255343424e-24,49
latent_188,0.060654451921448985,10.141946806777119,6.521986159124602e-24,50
latent_171,0.06038922958988131,10.094749116286337,8.843445998851385e-24,51
latent_209,0.06007912461259455,10.039598104746965,1.2621858922892431e-23,52
latent_212,0.059981111044642335,10.022174325895481,1.412307749207435e-23,53
latent_11,0.05929756142553564,9.900761316920464,3.089904219544439e-23,54
latent_129,0.05894774368833295,9.83869444714565,4.6100862800220016e-23,55
latent_120,0.058686963437544495,9.79245518322538,6.210651509346292e-23,56
latent_68,0.058581483359592644,9.773759658473534,7.005862764613684e-23,57
latent_107,0.05814745605545752,9.69687575459259,1.1497518581890488e-22,58
