Feature,Correlation,P_Value,Abs_Correlation,Rank
latent_189,-0.24295382745856983,1.1305746591815545e-89,0.24295382745856983,1
latent_208,-0.2384564858345098,2.336762595117879e-86,0.2384564858345098,2
latent_191,0.21754661875391368,7.648596641709064e-72,0.21754661875391368,3
latent_48,-0.21725023954634323,1.1989747973233224e-71,0.21725023954634323,4
latent_92,0.2150653119554447,3.2290815811454766e-70,0.2150653119554447,5
latent_71,0.20859189628271296,4.5111325804915884e-66,0.20859189628271296,6
latent_44,-0.2073727831410571,2.6275665831487756e-65,0.2073727831410571,7
latent_152,0.20451654428626742,1.5612830581161167e-63,0.20451654428626742,8
latent_176,0.19726581129413645,3.7811836454873987e-59,0.19726581129413645,9
latent_141,-0.1836548089407084,2.2419694944863828e-51,0.1836548089407084,10
latent_241,-0.18298580139730786,5.21734459757005e-51,0.18298580139730786,11
latent_25,-0.18030453643461486,1.490615025222405e-49,0.18030453643461486,12
latent_13,0.16861704407716469,1.799044528908858e-43,0.16861704407716469,13
latent_136,-0.1664300525573672,2.2158784019975353e-42,0.1664300525573672,14
latent_63,-0.16312549929551953,9.227040520786964e-41,0.16312549929551953,15
latent_237,0.15752699790714067,4.28104624021368e-38,0.15752699790714067,16
latent_15,0.155512803231155,3.6915128214817173e-37,0.155512803231155,17
latent_142,-0.1494090512449373,2.1204234555827883e-34,0.1494090512449373,18
latent_235,0.1477296016620686,1.1630461042793215e-33,0.1477296016620686,19
latent_178,0.14678583238345383,3.0005108094995296e-33,0.14678583238345383,20
latent_32,-0.14217824175787644,2.803391284223733e-31,0.14217824175787644,21
latent_34,0.14114735618759944,7.580780294293601e-31,0.14114735618759944,22
latent_110,0.13949210193534944,3.686909793826986e-30,0.13949210193534944,23
latent_66,-0.13901819513513686,5.778426629763141e-30,0.13901819513513686,24
latent_8,0.13595477880051585,1.015959413864531e-28,0.13595477880051585,25
latent_249,0.135824800845194,1.145713453534878e-28,0.135824800845194,26
latent_7,-0.13567173192252996,1.3197256864913083e-28,0.13567173192252996,27
latent_107,-0.13065546888731802,1.2410817844980515e-26,0.13065546888731802,28
latent_184,-0.12781005580720872,1.5118214726251482e-25,0.12781005580720872,29
latent_125,-0.1272015919468864,2.5616200567881844e-25,0.1272015919468864,30
latent_69,-0.12702347729528174,2.9877466303154677e-25,0.12702347729528174,31
latent_175,0.12496254035448823,1.7446339200253545e-24,0.12496254035448823,32
latent_121,-0.1226411097215197,1.2294778378830333e-23,0.1226411097215197,33
latent_79,0.12196676068721232,2.1530006319538848e-23,0.12196676068721232,34
latent_219,-0.12146478354283165,3.2605481885139307e-23,0.12146478354283165,35
latent_221,0.121116779246743,4.3431887070821685e-23,0.121116779246743,36
latent_114,-0.1209787889716325,4.864996585113837e-23,0.1209787889716325,37
latent_174,-0.12075602169601944,5.84129304115603e-23,0.12075602169601944,38
latent_213,-0.11852917774004765,3.567448252582604e-22,0.11852917774004765,39
latent_59,0.11812948593269434,4.918658100901637e-22,0.11812948593269434,40
latent_139,0.11742675693706592,8.628628260323285e-22,0.11742675693706592,41
latent_27,-0.11724312765138599,9.98813042796029e-22,0.11724312765138599,42
latent_236,-0.11696201497520743,1.2490087349099712e-21,0.11696201497520743,43
latent_164,0.11449532299233597,8.677066609093713e-21,0.11449532299233597,44
latent_159,0.11367351525283335,1.6399316645353438e-20,0.11367351525283335,45
latent_218,-0.11184205098189552,6.663949151472332e-20,0.11184205098189552,46
latent_227,-0.11118809505508995,1.0933243140487315e-19,0.11118809505508995,47
latent_146,-0.11043269451816323,1.9299597504572841e-19,0.11043269451816323,48
latent_140,-0.10761749587299853,1.5505326970642714e-18,0.10761749587299853,49
latent_137,0.10622366941864633,4.264590532571346e-18,0.10622366941864633,50
latent_129,-0.10562135283655699,6.576361247331592e-18,0.10562135283655699,51
latent_187,0.1040015278971714,2.0824765524052804e-17,0.1040015278971714,52
latent_56,0.10343248785637249,3.108912728927521e-17,0.10343248785637249,53
latent_120,0.10312321512708186,3.8618393618924744e-17,0.10312321512708186,54
latent_231,0.10161253710049784,1.1036293125576067e-16,0.10161253710049784,55
latent_38,0.09989924336670278,3.563889974854322e-16,0.09989924336670278,56
latent_211,0.09825634447523027,1.076568245934235e-15,0.09825634447523027,57
latent_203,-0.09761779768889967,1.6463434338185944e-15,0.09761779768889967,58
latent_161,-0.09620942338977932,4.16100107676191e-15,0.09620942338977932,59
latent_202,0.09420272238922159,1.523896224796601e-14,0.09420272238922159,60
latent_67,0.09302292866642096,3.2279739394179985e-14,0.09302292866642096,61
latent_115,0.09121907891305948,9.988613906478879e-14,0.09121907891305948,62
latent_186,0.09056333546890025,1.4979554122240003e-13,0.09056333546890025,63
latent_167,-0.09034981070486778,1.7081932882630748e-13,0.09034981070486778,64
latent_130,0.0891059892787017,3.6489321116160936e-13,0.0891059892787017,65
latent_64,-0.0888768890640661,4.191709285030423e-13,0.0888768890640661,66
latent_73,-0.08881608999620977,4.3485888193533245e-13,0.08881608999620977,67
latent_239,-0.08765567195031318,8.726834459428277e-13,0.08765567195031318,68
latent_43,-0.08714186488241885,1.184555625120773e-12,0.08714186488241885,69
latent_171,-0.08711939367831975,1.2004430586384756e-12,0.08711939367831975,70
latent_166,-0.08377154884150138,8.415343970909773e-12,0.08377154884150138,71
latent_155,-0.08367075866961535,8.913158826664392e-12,0.08367075866961535,72
latent_98,-0.08342527354629148,1.0249466003873642e-11,0.08342527354629148,73
latent_116,-0.08329869172754756,1.1013287456329271e-11,0.08329869172754756,74
latent_172,0.08304453156171514,1.2719050898481756e-11,0.08304453156171514,75
latent_113,-0.08147654172319482,3.0630399690097456e-11,0.08147654172319482,76
latent_170,0.0813863762896815,3.2202271574905985e-11,0.0813863762896815,77
latent_138,0.08010130222190255,6.532868574427927e-11,0.08010130222190255,78
latent_180,0.0799512163827413,7.090463873616049e-11,0.0799512163827413,79
latent_80,-0.07954572580150708,8.840020025447057e-11,0.07954572580150708,80
latent_251,-0.07908829741048197,1.1322251305975941e-10,0.07908829741048197,81
latent_156,0.07866710562352182,1.420256060999704e-10,0.07866710562352182,82
latent_46,-0.07866481008130272,1.4220069906706613e-10,0.07866481008130272,83
latent_173,0.078199328857202,1.8242768723986601e-10,0.078199328857202,84
latent_0,-0.0770089638554339,3.427150565843711e-10,0.0770089638554339,85
latent_245,0.07695218251385517,3.530971186069437e-10,0.07695218251385517,86
latent_244,-0.0769031188732246,3.623147945563483e-10,0.0769031188732246,87
latent_226,-0.07667751136979291,4.078125225783435e-10,0.07667751136979291,88
latent_65,-0.07634250387003211,4.858231224753074e-10,0.07634250387003211,89
latent_195,-0.0761298650120141,5.427027001268244e-10,0.0761298650120141,90
