Dimension,BIC_1,BIC_2,Delta_BIC,Is_Bimodal,Means_k2,Weights_k2
latent_94,2955.8121879662535,2489.354486823247,466.4577011430065,True,[1.04985402 0.64111144],[0.87013436 0.12986564]
latent_67,1036.977148573829,862.4019449682637,174.57520360556532,True,[0.23390488 0.18338917],[0.38920057 0.61079943]
latent_23,2899.439199980599,2736.4238291571223,163.0153708234766,True,[-0.36066074 -0.13965359],[0.35382807 0.64617193]
latent_126,8184.151929214363,8047.838493836181,136.31343537818157,True,[ 0.14391021 -1.61238155],[0.6664044 0.3335956]
latent_209,594.9247326184945,462.0265914826939,132.89814113580064,True,[ 0.02043541 -0.00437912],[0.61785238 0.38214762]
latent_39,6398.971878099548,6287.029448066549,111.94243003299925,True,[-1.14197148 -1.31926616],[0.42514066 0.57485934]
latent_90,981.4679037074058,877.7264427717516,103.74146093565412,True,[0.33177775 0.22330583],[0.41668842 0.58331158]
latent_197,2263.343478071479,2167.445291553602,95.89818651787664,True,[ 0.24333245 -0.02154736],[0.36014548 0.63985452]
latent_10,5008.912554490601,4920.974547224558,87.93800726604331,True,[-0.44443827  0.34003204],[0.34693355 0.65306645]
latent_114,1216.2336151922561,1130.5304155007998,85.70319969145635,True,[ 0.00466756 -0.17135219],[0.6358891 0.3641109]
latent_207,3305.601354661961,3232.5267327526444,73.07462190931665,True,[-0.01415157 -0.22902139],[0.62513798 0.37486202]
latent_214,979.1319652034415,914.9306352729209,64.20132993052061,True,[-0.03574786 -0.11572701],[0.56381103 0.43618897]
latent_18,2980.684763466303,2925.199756744171,55.48500672213231,True,[-0.33361024 -0.49326476],[0.41721806 0.58278194]
latent_17,3456.616302766742,3401.4964010742833,55.119901692458825,True,[-0.02541773 -0.32786798],[0.3978354 0.6021646]
latent_222,6108.489600411728,6056.752076065377,51.737524346351165,True,[-0.12286323 -1.22673102],[0.3321142 0.6678858]
latent_96,-227.8297946373692,-274.04345563861955,46.21366100125036,True,[-0.00194422  0.08728783],[0.4306317 0.5693683]
latent_147,3184.5303436208005,3138.4006769980133,46.12966662278723,True,[-0.27605981 -0.06054059],[0.41451804 0.58548196]
latent_50,4427.5473634086875,4381.593681042238,45.95368236644936,True,[ 0.26191599 -0.04699272],[0.44109237 0.55890763]
latent_242,91.8011568921238,50.53875488872454,41.26240200339926,True,[0.12925216 0.04283785],[0.54805496 0.45194504]
latent_233,3191.5631088802106,3153.1119779045757,38.4511309756349,True,[-0.13637491  0.0795946 ],[0.43623783 0.56376217]
latent_231,6763.362926831564,6725.707193359122,37.65573347244208,True,[-0.18717526 -1.3206487 ],[0.39583688 0.60416312]
latent_163,5854.894120450036,5821.660368652122,33.23375179791401,True,[1.07818831 0.07779877],[0.36393942 0.63606058]
latent_107,5706.714331456258,5685.417544582562,21.296786873695964,True,[-0.45432474  0.34741415],[0.5783405 0.4216595]
latent_27,4717.426648805587,4709.504680165189,7.921968640398518,False,[ 0.4147043  -0.28119995],[0.42210113 0.57789887]
latent_133,7100.263407667585,7096.461818925756,3.8015887418287093,False,[ 1.3458393  -0.19141474],[0.52024539 0.47975461]
latent_72,5905.219817542571,5908.767519835183,-3.547702292611575,False,[-0.07841565  0.69652521],[0.56507493 0.43492507]
