Latent_Dim,Brain_Region,Correlation,P_Value,Abs_Correlation
latent_93,Putamen_L_Ant,-0.7865732929526468,0.0,0.7865732929526468
latent_5,Putamen_L_Ant,-0.7827861026057598,0.0,0.7827861026057598
latent_5,Putamen_R_Ant,-0.7777206744440133,0.0,0.7777206744440133
latent_93,Caudate_L,-0.7582087379301101,0.0,0.7582087379301101
latent_5,Caudate_L,-0.7580082128533889,0.0,0.7580082128533889
latent_93,Putamen_R_Ant,-0.7571282627849136,0.0,0.7571282627849136
latent_5,Caudate_R,-0.7562262687022725,0.0,0.7562262687022725
latent_93,Putamen_L,-0.7461593939902107,0.0,0.7461593939902107
latent_5,Putamen_L,-0.7443737449836622,0.0,0.7443737449836622
latent_5,Putamen_R,-0.7426858938509064,0.0,0.7426858938509064
latent_93,Caudate_R,-0.7344324756705076,0.0,0.7344324756705076
latent_93,Putamen_R,-0.7182853903947666,0.0,0.7182853903947666
latent_1,Putamen_L_Ant,-0.605260237866088,0.0,0.605260237866088
latent_1,Caudate_L,-0.60376107726796,0.0,0.60376107726796
latent_1,Putamen_L,-0.5656304210935534,0.0,0.5656304210935534
latent_1,Caudate_R,-0.5590093367666957,0.0,0.5590093367666957
latent_1,Putamen_R_Ant,-0.5585603422318676,0.0,0.5585603422318676
latent_1,Putamen_R,-0.5292624105008923,0.0,0.5292624105008923
latent_116,Caudate_R,0.5119167226295955,0.0,0.5119167226295955
latent_116,Putamen_R_Ant,0.5005307147121869,0.0,0.5005307147121869
latent_73,Caudate_L,-0.47794028028627067,0.0,0.47794028028627067
latent_73,Caudate_R,-0.47324841209446555,0.0,0.47324841209446555
latent_73,Putamen_L_Ant,-0.4650134957560607,0.0,0.4650134957560607
latent_73,Putamen_R_Ant,-0.462245814242505,0.0,0.462245814242505
latent_116,Caudate_L,0.455010799740244,0.0,0.455010799740244
latent_116,Putamen_R,0.44126054253022473,4.684473836e-314,0.44126054253022473
latent_73,Putamen_R,-0.43893849308374705,2.09515939379813e-310,0.43893849308374705
latent_116,Putamen_L_Ant,0.4373840806577046,5.611465451089271e-308,0.4373840806577046
latent_159,Putamen_R_Ant,0.43673196417948446,5.80566946219092e-307,0.43673196417948446
latent_159,Caudate_R,0.43527582430787903,1.0513979257617154e-304,0.43527582430787903
latent_73,Putamen_L,-0.4342667222097471,3.8020276215718273e-303,0.4342667222097471
latent_159,Putamen_R,0.41200954729013994,4.275739647017866e-270,0.41200954729013994
latent_116,Putamen_L,0.389717718940499,2.03139265069748e-239,0.389717718940499
latent_187,Putamen_L_Ant,-0.31689352012132255,1.496918117163563e-154,0.31689352012132255
latent_187,Putamen_L,-0.3156991385812099,2.427476504373805e-153,0.3156991385812099
latent_159,Putamen_L_Ant,0.2863472206239651,2.5264796566681086e-125,0.2863472206239651
latent_159,Putamen_L,0.27992350438639685,1.2707109298828378e-119,0.27992350438639685
latent_187,Caudate_L,-0.2799135586137621,1.2964542817337288e-119,0.2799135586137621
latent_159,Caudate_L,0.2742752682779409,9.836104730120546e-115,0.2742752682779409
latent_25,Putamen_R_Ant,-0.22561720937289714,2.7783569548864406e-77,0.22561720937289714
latent_25,Putamen_R,-0.224658229553497,1.2597553064201988e-76,0.224658229553497
latent_25,Caudate_R,-0.20814128354327918,8.473504473629468e-66,0.20814128354327918
latent_187,Putamen_R,-0.19635595666689165,1.2799437377744507e-58,0.19635595666689165
latent_187,Putamen_R_Ant,-0.1678210757267565,4.4404519735837534e-43,0.1678210757267565
latent_53,Putamen_R,0.12703744242461898,2.9278056430750645e-25,0.12703744242461898
latent_187,Caudate_R,-0.12322934387863263,7.464605195674946e-24,0.12322934387863263
latent_53,Caudate_L,-0.1074714539821077,1.7148788861934948e-18,0.1074714539821077
latent_22,Caudate_R,0.10489190853083716,1.101373623381145e-17,0.10489190853083716
latent_114,Caudate_R,-0.09641575009054937,3.618325418717008e-15,0.09641575009054937
latent_22,Caudate_L,0.09250433618286702,4.456944445004815e-14,0.09250433618286702
latent_114,Putamen_R_Ant,-0.0840880928542452,6.997126479018231e-12,0.0840880928542452
latent_53,Putamen_L,0.08379607867646705,8.268585360853708e-12,0.08379607867646705
latent_142,Putamen_L,-0.07889080320842806,1.2553481661038388e-10,0.07889080320842806
latent_42,Putamen_L,-0.07728190169131995,2.959177103054128e-10,0.07728190169131995
latent_114,Putamen_L,0.0725171416123164,3.3928448471140756e-09,0.0725171416123164
latent_114,Putamen_L_Ant,0.07169370230742014,5.094167320269952e-09,0.07169370230742014
latent_33,Putamen_R,-0.07104118154456734,7.007644898143624e-09,0.07104118154456734
latent_114,Putamen_R,-0.06366351135674325,2.124788211495224e-07,0.06366351135674325
