Manufacturer,N_Subjects,SBR_PC1_Mean,SBR_PC1_Std,SBR_PC2_Mean,SBR_PC2_Std,SBR_PC3_Mean,SBR_PC3_Std
SIEMENS NM,1169,-0.30186986991394615,2.0456353863657037,-0.02796973706615565,0.536297010002123,-0.12203348405624825,0.4550249214253615
GE MEDICAL SYSTEMS,456,0.5536162566917563,2.5764820425674277,-0.0021819119060197964,0.6398879584464836,0.17436744284488084,0.6118530048544017
Philips Nuclear Medicine,90,-0.6138372347265952,1.9701672723603632,-0.1045516009875265,0.5255514568992977,-0.0036052607705040966,0.5183972101080976
Philips Healthcare,64,0.10700269898077344,2.568781399987525,0.07676870253987254,0.5242451159684183,-0.07361066715895127,0.5095377974710551
"Marconi Medical Systems, NM Division",268,-0.21545916102750864,2.0918258020925893,0.02755545096591184,0.5095130227008062,0.15138360300626716,0.5165673393430685
PICKER,119,1.192155853823515,2.821709001978074,0.04496435751585943,0.6511293537332123,0.28537771409941437,0.5909252729681512
"Picker International, NM Division",55,-1.0642063855528912,1.7875128845867774,0.03343845900948303,0.3525854460047287,-0.24895415181441316,0.4924584839146957
ADAC,25,0.09688072103123266,2.3289929586072358,0.12495615140532504,0.4948239843705193,0.18523961580834633,0.4809396792423379
0000000,24,0.026708488399613966,2.3238662165924633,0.04859093900980738,0.569448980011522,0.05229597232791733,0.4418310352598173
GE_MEDICAL_SYSTEMS,27,2.0841561395387487,2.505121933663319,0.496232127681886,0.7720457905353936,0.13250483458731058,0.7909516703136321
"Philips Medical Systems, NM Division",22,2.79049771389689,2.378674838385113,0.0013835014275588814,0.8206219893710258,0.04780338784566262,0.4355465938729741
Mediso,4,2.909677371338028,1.8608365310085522,0.8569091551647572,0.49557436660196336,-0.31882276619475625,0.2738294610154055
Numa_Inc,2,-2.3107025918974156,0.37603579015239347,-0.28646872636380644,0.42884182113733854,-0.2932615647678833,0.39522042729019
MiE,3,-0.569284424970104,0.304275286941439,0.2143142085882047,0.5167945066659421,0.023079726033750952,0.3187316210676155
"GE MEDICAL SYSTEMS, NUCLEAR",3,-1.0314475438095074,1.4062233624292706,0.8160099231132238,0.7706808307791094,-0.2567037463706157,0.3322012241229466
