Feature_Set,Algorithm,k,ARI,Silhouette
Set_A_All_Active,KMeans,2,-0.018324029642132467,0.0372084668068776
Set_A_All_Active,GMM,2,0.019265403075323557,0.11692371907237757
Set_A_All_Active,KMeans,3,0.008092452248454498,0.029514292382954138
Set_A_All_Active,GMM,3,0.005910732496838513,0.018773028674353844
Set_A_All_Active,KMeans,4,0.02351542272038121,0.020479583871216598
Set_A_All_Active,GMM,4,0.015024833170508728,0.007197880006659047
Set_A_All_Active,KMeans,5,0.016745658163806174,0.020663752946106295
Set_A_All_Active,GMM,5,0.016706673042730085,0.01571528613567156
Set_A_All_Active,KMeans,6,0.013690933584786468,0.020847565907070247
Set_A_All_Active,GMM,6,0.019473979780586254,0.013679234435794477
Set_B_Decorrelated,KMeans,2,-0.021502076151169842,0.036203201910869086
Set_B_Decorrelated,GMM,2,-0.019751928523636282,0.09238305349808992
Set_B_Decorrelated,KMeans,3,-0.02568172721801527,0.0678484001937296
Set_B_Decorrelated,GMM,3,-0.0006831726344723952,0.07215690430642142
Set_B_Decorrelated,KMeans,4,0.019545015536480012,0.02154428352148443
Set_B_Decorrelated,GMM,4,0.022145875000095894,0.008380157524274732
Set_B_Decorrelated,KMeans,5,0.001957813163934481,0.022942382358007527
Set_B_Decorrelated,GMM,5,0.009717737556934102,0.012848319435192372
Set_B_Decorrelated,KMeans,6,0.08819868496536523,0.01701765190179175
Set_B_Decorrelated,GMM,6,0.11429960580590813,0.013127624532770372
