Factor,Top_Dimension,Effect_Size,P_Value,Survives_Bonferroni,Separation_Gap_Pct,Separation_Quality
Age,latent_72,0.09409607950397757,7.760216935219364e-53,True,7.31075575950851,Moderate
Sex,latent_133,0.06248114851154789,4.2106760843369686e-35,True,26.01516932743431,Excellent
Scanner,latent_39,0.1783562344174514,2.192906919160183e-89,True,2.7616413083977593,Weak
Scanner Model,latent_39,0.20662276859097659,2.3439156027564277e-99,True,8.186737340113009,Moderate
Patient Hand,latent_142,0.006388295248056685,0.0005081162614636915,True,9.201676428085989,Moderate
SBR_PC1,latent_126,0.8365606370933911,0.0,True,75.90817908694451,Excellent
SBR_PC2,latent_163,0.1942041018995673,2.5080875601602738e-113,True,31.908092957221246,Excellent
SBR_PC3,latent_155,0.0802975963339733,4.612170814256989e-45,True,1.6376584013453406,Weak
Age,latent_72,0.09409607950397757,7.760216935219364e-53,True,7.31075575950851,Moderate
Sex,latent_133,0.06248114851154789,4.2106760843369686e-35,True,26.01516932743431,Excellent
Scanner,latent_39,0.1783562344174514,2.192906919160183e-89,True,2.7616413083977593,Weak
Scanner Model,latent_39,0.20662276859097659,2.3439156027564277e-99,True,8.186737340113009,Moderate
Patient Hand,latent_142,0.006388295248056685,0.0005081162614636915,True,9.201676428085989,Moderate
SBR_PC1,latent_126,0.8365606370933911,0.0,True,75.90817908694451,Excellent
SBR_PC2,latent_163,0.1942041018995673,2.5080875601602738e-113,True,31.908092957221246,Excellent
SBR_PC3,latent_155,0.0802975963339733,4.612170814256989e-45,True,1.6376584013453406,Weak
