Factor,Top_Dimension,Effect_Size,P_Value,Survives_Bonferroni,Separation_Gap_Pct,Separation_Quality
Age,latent_116,0.07674049996508663,4.965310205892276e-43,True,4.5487701061721495,Weak
Sex,latent_133,0.07999036876727174,7.465826061244884e-45,True,40.039795001342185,Excellent
Scanner,latent_39,0.19447899546634084,2.7893353178327554e-99,True,22.198338519603112,Excellent
Scanner Model,latent_39,0.21691953802681163,8.998103634333624e-106,True,23.29306626946916,Excellent
Patient Hand,latent_34,0.005565651973891104,0.0013531125564968103,True,48.394437924941734,Excellent
SBR_PC1,latent_126,0.8652733666561983,0.0,True,84.16343036192305,Excellent
SBR_PC2,latent_118,0.17004241074274096,4.3554318830737047e-98,True,23.308435170116105,Excellent
SBR_PC3,latent_22,0.11679242096839286,5.454842687503987e-66,True,5.616195839237173,Moderate
Age,latent_116,0.07674049996508663,4.965310205892276e-43,True,4.5487701061721495,Weak
Sex,latent_133,0.07999036876727174,7.465826061244884e-45,True,40.039795001342185,Excellent
Scanner,latent_39,0.19447899546634084,2.7893353178327554e-99,True,22.198338519603112,Excellent
Scanner Model,latent_39,0.21691953802681163,8.998103634333624e-106,True,23.29306626946916,Excellent
Patient Hand,latent_34,0.005565651973891104,0.0013531125564968103,True,48.394437924941734,Excellent
SBR_PC1,latent_126,0.8652733666561983,0.0,True,84.16343036192305,Excellent
SBR_PC2,latent_118,0.17004241074274096,4.3554318830737047e-98,True,23.308435170116105,Excellent
SBR_PC3,latent_22,0.11679242096839286,5.454842687503987e-66,True,5.616195839237173,Moderate
